Output for File: data/Communities and Crime Normalized/communities.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  
x22:  -0.10 -0.02 -0.20 -0.07 -0.04  0.18  0.12  0.44 -0.59 -0.06  0.42  0.21  0.19  0.15  0.14  0.15 -0.22 -0.66 -0.55 -0.03 -0.75  0.31  1.00 -0.02 -0.69 -0.64 -0.54 -0.43 -0.19 -0.27 -0.31 -0.45  0.32  0.78  0.73  0.77 -0.57  0.84 -0.64  0.11 -0.07  0.58 -0.58  0.45  0.24  0.51  0.50  0.30 -0.74 -0.76 -0.78 -0.63 -0.20 -0.35  0.32  0.67  0.18  0.11  0.15  0.15  0.18  0.16  0.18  0.17  0.19 -0.32  0.41  0.52  0.46  0.09 -0.02  0.40 -0.54  0.55  0.45 -0.33  0.18 -0.22 -0.47  0.50  0.18 -0.26  0.69  0.56 -0.40 -0.39 -0.38 -0.52 -0.50 -0.49 -0.51  0.39 -0.08  0.10  0.21  0.17  0.13  0.21 -0.05  0.22  0.21  0.15  0.16  0.17  0.16  0.16  0.18  0.18  0.16  0.13  0.12  0.25  0.18  0.10  0.27  0.16  0.17  0.19  0.03  0.20 -0.02  0.15  0.16  0.16  0.13  0.18  0.14  0.32 
x23:   0.01  0.09  0.16  0.00 -0.02 -0.09 -0.32 -0.07  0.23 -0.17 -0.26 -0.31 -0.42 -0.27  0.66 -0.08  0.07 -0.07 -0.52 -0.28  0.20  0.65 -0.02  1.00 -0.06  0.01 -0.04 -0.05 -0.02  0.05 -0.04  0.06 -0.10 -0.15 -0.10  0.01 -0.19  0.02 -0.39 -0.02  0.04  0.01 -0.09  0.02 -0.26 -0.08 -0.03 -0.38 -0.01  0.00 -0.01  0.03 -0.07  0.00 -0.09 -0.15 -0.14 -0.29 -0.33 -0.38 -0.42 -0.29 -0.29 -0.29 -0.29  0.24 -0.25 -0.27 -0.26 -0.30 -0.37 -0.25  0.24 -0.31 -0.07  0.08 -0.04 -0.05  0.25 -0.02  0.17 -0.29 -0.12 -0.15 -0.07 -0.08 -0.09 -0.09 -0.07 -0.07 -0.06  0.00 -0.19  0.03 -0.07 -0.07 -0.21  0.09  0.38  0.26  0.17 -0.05 -0.02 -0.07 -0.03 -0.07 -0.03 -0.07 -0.02 -0.05 -0.05 -0.05 -0.11 -0.05 -0.10 -0.06 -0.08 -0.05 -0.05 -0.09 -0.04 -0.06 -0.06 -0.07 -0.07 -0.06 -0.03 -0.07 
x24:  -0.12 -0.03  0.28  0.07  0.04 -0.11  0.11 -0.36  0.34  0.35 -0.20 -0.27 -0.31 -0.26 -0.23 -0.07  0.33  0.98  0.57 -0.04  0.81 -0.37 -0.69 -0.06  1.00  0.94  0.88  0.66  0.29  0.47  0.41  0.65 -0.24 -0.76 -0.63 -0.73  0.77 -0.68  0.59 -0.09  0.14 -0.67  0.80 -0.56 -0.13 -0.54 -0.57 -0.01  0.71  0.71  0.71  0.60 -0.13 -0.02 -0.19 -0.50 -0.02 -0.12 -0.15 -0.14 -0.17  0.10  0.09  0.11  0.10  0.02 -0.14 -0.25 -0.18  0.18  0.28 -0.22  0.58 -0.33 -0.56  0.41 -0.18  0.38  0.53 -0.38 -0.21  0.11 -0.74 -0.44  0.81  0.81  0.80  0.79  0.84  0.84  0.84 -0.20  0.33 -0.02 -0.12 -0.09  0.20 -0.24  0.23 -0.04 -0.07 -0.09 -0.09 -0.10 -0.09 -0.10 -0.11 -0.11 -0.09 -0.08 -0.08 -0.15 -0.09  0.00 -0.15 -0.10 -0.11 -0.08 -0.06 -0.02  0.28 -0.12 -0.08 -0.09 -0.08 -0.12 -0.05 -0.22 
x25:  -0.14 -0.03  0.24  0.06  0.03 -0.06 -0.13 -0.29  0.32  0.32 -0.24 -0.41 -0.41 -0.34 -0.03 -0.02  0.34  0.89  0.38 -0.07  0.81 -0.23 -0.64  0.01  0.94  1.00  0.97  0.63  0.29  0.51  0.39  0.67 -0.18 -0.70 -0.61 -0.70  0.79 -0.66  0.49 -0.15  0.19 -0.69  0.84 -0.41 -0.15 -0.40 -0.41 -0.21  0.57  0.59  0.60  0.47 -0.13 -0.04 -0.13 -0.43  0.00 -0.10 -0.13 -0.12 -0.15  0.10  0.09  0.10  0.09  0.05 -0.16 -0.35 -0.31 -0.05  0.04 -0.35  0.49 -0.37 -0.41  0.31 -0.08  0.25  0.43 -0.35 -0.20  0.04 -0.66 -0.41  0.79  0.80  0.82  0.74  0.79  0.79  0.78 -0.20  0.29 -0.01 -0.06 -0.03  0.19 -0.30  0.22 -0.02 -0.12 -0.04 -0.01 -0.03 -0.01 -0.05 -0.03 -0.05 -0.01 -0.01 -0.01 -0.09 -0.06  0.03 -0.09 -0.04 -0.04 -0.03 -0.03  0.02  0.31 -0.05 -0.03 -0.03 -0.03 -0.06  0.02 -0.18 
x26:  -0.18 -0.02  0.19  0.06  0.04  0.04 -0.13 -0.10  0.12  0.36 -0.20 -0.38 -0.38 -0.31 -0.03  0.07  0.35  0.84  0.35 -0.08  0.72 -0.23 -0.54 -0.04  0.88  0.97  1.00  0.58  0.28  0.49  0.37  0.65 -0.07 -0.59 -0.54 -0.63  0.79 -0.58  0.44 -0.18  0.22 -0.67  0.83 -0.33 -0.07 -0.30 -0.32 -0.18  0.43  0.43  0.47  0.33 -0.12 -0.05 -0.01 -0.26  0.07 -0.05 -0.06 -0.04 -0.06  0.16  0.15  0.16  0.15  0.01 -0.11 -0.27 -0.25 -0.05  0.01 -0.30  0.39 -0.28 -0.34  0.25  0.02  0.19  0.34 -0.25 -0.20  0.03 -0.57 -0.34  0.77  0.79  0.82  0.70  0.76  0.77  0.75 -0.15  0.31  0.01  0.04  0.04  0.23 -0.32  0.18 -0.03 -0.14  0.05  0.07  0.04  0.07  0.03  0.04  0.02  0.07  0.05  0.04  0.03 -0.01  0.08  0.01  0.05  0.04  0.03  0.02  0.06  0.36  0.03  0.05  0.04  0.04  0.02  0.09 -0.10 
x27:  -0.13 -0.02  0.21  0.03  0.01 -0.06  0.04 -0.25  0.19  0.30 -0.06 -0.28 -0.26 -0.26 -0.17 -0.03  0.28  0.67  0.41 -0.12  0.50 -0.29 -0.43 -0.05  0.66  0.63  0.58  1.00  0.24  0.33  0.34  0.50 -0.15 -0.53 -0.39 -0.44  0.47 -0.41  0.45 -0.01  0.00 -0.43  0.51 -0.33 -0.12 -0.30 -0.32  0.03  0.46  0.46  0.48  0.38 -0.12 -0.06 -0.11 -0.33  0.03 -0.12 -0.13 -0.11 -0.12  0.12  0.12  0.14  0.14 -0.08  0.00 -0.14 -0.09  0.15  0.22 -0.12  0.37 -0.17 -0.33  0.24 -0.12  0.28  0.33 -0.26 -0.20  0.07 -0.50 -0.26  0.59  0.58  0.56  0.60  0.62  0.62  0.63 -0.15  0.30  0.00 -0.08 -0.04  0.23 -0.18  0.18  0.02 -0.03 -0.05 -0.09 -0.08 -0.08 -0.06 -0.08 -0.07 -0.09 -0.07 -0.08 -0.10 -0.03  0.03 -0.08 -0.07 -0.08 -0.04 -0.06  0.07  0.23 -0.09 -0.05 -0.06 -0.06 -0.09 -0.06 -0.13 
x28:  -0.07 -0.01 -0.01  0.03  0.02 -0.02 -0.01 -0.05  0.04  0.12 -0.01 -0.16 -0.15 -0.15 -0.05  0.00  0.13  0.29  0.16 -0.05  0.20 -0.12 -0.19 -0.02  0.29  0.29  0.28  0.24  1.00  0.16  0.16  0.22 -0.06 -0.23 -0.17 -0.19  0.21 -0.21  0.20 -0.03  0.00 -0.20  0.22 -0.09 -0.08 -0.07 -0.08  0.00  0.16  0.16  0.18  0.12 -0.05  0.00 -0.03 -0.11  0.01 -0.06 -0.06 -0.05 -0.05  0.06  0.06  0.07  0.06 -0.03  0.00 -0.05 -0.03  0.05  0.07 -0.05  0.15 -0.05 -0.12  0.10 -0.03  0.07  0.14 -0.10 -0.11  0.07 -0.21 -0.12  0.26  0.27  0.26  0.29  0.28  0.28  0.29 -0.04  0.17  0.00 -0.04 -0.01  0.10 -0.13  0.05 -0.02 -0.03 -0.02  0.01  0.00  0.01 -0.02  0.00 -0.02  0.01 -0.01 -0.01 -0.01  0.00  0.02 -0.01 -0.02  0.00 -0.01 -0.02  0.04  0.09 -0.02 -0.01 -0.01  0.01 -0.01  0.03 -0.04 
x29:  -0.08 -0.02  0.14  0.01 -0.01 -0.08 -0.06 -0.12  0.15  0.10 -0.11 -0.27 -0.33 -0.28  0.05 -0.07  0.10  0.46  0.12 -0.05  0.39 -0.04 -0.27  0.05  0.47  0.51  0.49  0.33  0.16  1.00  0.18  0.41 -0.13 -0.33 -0.25 -0.28  0.35 -0.27  0.16  0.00  0.09 -0.30  0.42 -0.23 -0.16 -0.23 -0.23 -0.07  0.29  0.29  0.29  0.26 -0.14 -0.10 -0.10 -0.22 -0.04 -0.18 -0.22 -0.21 -0.22  0.00 -0.01  0.00  0.00  0.03 -0.08 -0.15 -0.13  0.02  0.05 -0.16  0.32 -0.19 -0.26  0.23 -0.09  0.12  0.29 -0.14 -0.01  0.00 -0.27 -0.15  0.39  0.39  0.40  0.35  0.38  0.38  0.39 -0.14  0.11  0.03 -0.08 -0.04  0.08 -0.06  0.23  0.13  0.07 -0.05 -0.01 -0.05 -0.01 -0.06 -0.04 -0.07 -0.01 -0.05 -0.05 -0.06 -0.03 -0.01 -0.05 -0.05 -0.07 -0.05 -0.04 -0.03  0.12 -0.06 -0.05 -0.05 -0.07 -0.06  0.01 -0.05 
x30:  -0.10 -0.02  0.09  0.04  0.03 -0.03  0.02 -0.11  0.11  0.19 -0.10 -0.17 -0.15 -0.16 -0.11 -0.01  0.19  0.42  0.27 -0.09  0.31 -0.19 -0.31 -0.04  0.41  0.39  0.37  0.34  0.16  0.18  1.00  0.48 -0.09 -0.35 -0.28 -0.30  0.27 -0.30  0.31 -0.05 -0.04 -0.29  0.30 -0.18 -0.09 -0.18 -0.19  0.00  0.29  0.28  0.31  0.24 -0.03  0.02 -0.07 -0.19 -0.01 -0.07 -0.09 -0.08 -0.08  0.05  0.05  0.06  0.05 -0.01 -0.06 -0.10 -0.08  0.08  0.12 -0.08  0.23 -0.13 -0.19  0.15 -0.05  0.13  0.21 -0.16 -0.11  0.10 -0.31 -0.21  0.36  0.35  0.34  0.41  0.41  0.39  0.42 -0.07  0.19  0.02 -0.06 -0.04  0.12 -0.15  0.09 -0.03 -0.05 -0.03 -0.01 -0.02 -0.02 -0.04 -0.03 -0.03 -0.01 -0.02 -0.02 -0.02 -0.04  0.01 -0.03 -0.03 -0.02 -0.03 -0.01  0.03  0.15 -0.04 -0.03 -0.02 -0.02 -0.02 -0.01 -0.05 
x31:  -0.10  0.00  0.21  0.03  0.02 -0.08 -0.09 -0.15  0.21  0.20 -0.24 -0.31 -0.32 -0.28 -0.03 -0.05  0.26  0.64  0.30 -0.12  0.55 -0.15 -0.45  0.06  0.65  0.67  0.65  0.50  0.22  0.41  0.48  1.00 -0.16 -0.52 -0.42 -0.47  0.51 -0.46  0.36 -0.07  0.09 -0.47  0.57 -0.31 -0.15 -0.31 -0.32 -0.12  0.42  0.43  0.44  0.34 -0.09 -0.02 -0.12 -0.31 -0.06 -0.15 -0.18 -0.19 -0.23 -0.01 -0.02 -0.01 -0.01  0.09 -0.18 -0.26 -0.22  0.00  0.07 -0.25  0.42 -0.31 -0.35  0.26 -0.10  0.21  0.38 -0.23 -0.10  0.04 -0.48 -0.28  0.52  0.52  0.52  0.53  0.55  0.55  0.56 -0.18  0.20  0.02 -0.09 -0.07  0.09 -0.15  0.24  0.05 -0.03 -0.06 -0.04 -0.06 -0.04 -0.07 -0.06 -0.08 -0.04 -0.06 -0.05 -0.05 -0.08 -0.02 -0.08 -0.07 -0.07 -0.06 -0.04 -0.01  0.22 -0.06 -0.06 -0.06 -0.06 -0.07 -0.03 -0.11 
x32:  -0.04  0.05 -0.09 -0.02 -0.01  0.95 -0.03  0.32 -0.38  0.09  0.20  0.09  0.18  0.14 -0.06  0.94  0.17 -0.24 -0.11 -0.10 -0.27 -0.05  0.32 -0.10 -0.24 -0.18 -0.07 -0.15 -0.06 -0.13 -0.09 -0.16  1.00  0.34  0.17  0.19 -0.08  0.29 -0.15 -0.11  0.06  0.07 -0.11  0.28  0.30  0.30  0.30  0.11 -0.39 -0.40 -0.36 -0.37 -0.07 -0.15  0.94  0.45  0.71  0.17  0.18  0.20  0.22  0.18  0.18  0.18  0.19 -0.18  0.21  0.25  0.17 -0.04 -0.02  0.07 -0.33  0.26  0.28 -0.26  0.88 -0.15 -0.32  0.43  0.00 -0.10  0.21  0.22 -0.13 -0.11 -0.09 -0.15 -0.14 -0.13 -0.15  0.19  0.02  0.00  0.82  0.64  0.14 -0.06 -0.12  0.03 -0.05  0.78  0.43  0.47  0.45  0.81  0.49  0.55  0.43  0.51  0.44  0.58  0.49  0.29  0.65  0.71  0.61  0.51  0.65  0.23  0.26  0.84  0.79  0.51  0.45  0.45  0.41  0.20 
x33:   0.03 -0.02 -0.32 -0.07 -0.04  0.16  0.06  0.49 -0.54 -0.17  0.31  0.50  0.45  0.47  0.10  0.12 -0.32 -0.79 -0.52  0.14 -0.72  0.24  0.78 -0.15 -0.76 -0.70 -0.59 -0.53 -0.23 -0.33 -0.35 -0.52  0.34  1.00  0.66  0.67 -0.39  0.78 -0.70 -0.07  0.17  0.45 -0.47  0.39  0.40  0.43  0.43  0.13 -0.74 -0.76 -0.76 -0.66 -0.10 -0.25  0.28  0.64  0.10  0.32  0.34  0.34  0.36  0.10  0.10  0.08  0.08 -0.18  0.26  0.38  0.30 -0.09 -0.19  0.29 -0.63  0.45  0.51 -0.42  0.22 -0.37 -0.57  0.48  0.22 -0.14  0.81  0.53 -0.55 -0.53 -0.51 -0.66 -0.65 -0.64 -0.66  0.45 -0.24  0.05  0.18  0.13 -0.03  0.15 -0.26 -0.05  0.02  0.14  0.15  0.16  0.15  0.15  0.17  0.17  0.15  0.13  0.12  0.24  0.17  0.04  0.26  0.15  0.17  0.14  0.07  0.07 -0.11  0.17  0.13  0.15  0.14  0.17  0.11  0.28 
x34:   0.00  0.00 -0.15 -0.04 -0.03  0.04  0.17  0.29 -0.47 -0.16  0.54  0.17  0.15  0.11  0.20  0.01 -0.27 -0.60 -0.46  0.09 -0.69  0.36  0.73 -0.10 -0.63 -0.61 -0.54 -0.39 -0.17 -0.25 -0.28 -0.42  0.17  0.66  1.00  0.94 -0.62  0.69 -0.55  0.26 -0.24  0.69 -0.64  0.25  0.14  0.28  0.28  0.33 -0.51 -0.57 -0.55 -0.42 -0.09 -0.23  0.15  0.50  0.16  0.04  0.10  0.10  0.16  0.22  0.24  0.24  0.25 -0.48  0.56  0.51  0.47  0.16  0.05  0.42 -0.42  0.59  0.44 -0.34  0.04 -0.19 -0.36  0.36  0.22 -0.20  0.69  0.58 -0.38 -0.37 -0.37 -0.49 -0.47 -0.46 -0.48  0.21 -0.08  0.16  0.07  0.07  0.23  0.23  0.09  0.30  0.27  0.06  0.08  0.07  0.08  0.07  0.08  0.07  0.08  0.05  0.03  0.09  0.19  0.02  0.17  0.08  0.06  0.09 -0.04  0.18 -0.08  0.05  0.06  0.07  0.02  0.08  0.05  0.23 
x35:   0.00  0.02 -0.15 -0.05 -0.04  0.06  0.10  0.37 -0.49 -0.24  0.46  0.12  0.10  0.06  0.27  0.03 -0.25 -0.68 -0.54 -0.03 -0.78  0.45  0.77  0.01 -0.73 -0.70 -0.63 -0.44 -0.19 -0.28 -0.30 -0.47  0.19  0.67  0.94  1.00 -0.76  0.74 -0.61  0.30 -0.32  0.78 -0.77  0.39  0.10  0.38  0.40  0.27 -0.62 -0.68 -0.65 -0.51 -0.07 -0.21  0.20  0.57  0.12  0.00  0.05  0.05  0.10  0.12  0.15  0.14  0.17 -0.37  0.46  0.48  0.43  0.11 -0.02  0.41 -0.43  0.53  0.47 -0.33  0.08 -0.26 -0.36  0.43  0.27 -0.25  0.74  0.58 -0.48 -0.48 -0.48 -0.56 -0.55 -0.55 -0.54  0.22 -0.12  0.20  0.09  0.08  0.14  0.27  0.12  0.36  0.32  0.09  0.10  0.09  0.11  0.09  0.10  0.08  0.10  0.06  0.06  0.14  0.15  0.00  0.17  0.10  0.09  0.09 -0.03  0.18 -0.09  0.08  0.08  0.09  0.03  0.11  0.07  0.27 
x36:  -0.04 -0.02  0.13  0.04  0.02  0.00 -0.03 -0.18  0.22  0.32 -0.26  0.02  0.00  0.09 -0.22  0.02  0.21  0.68  0.43  0.10  0.74 -0.39 -0.57 -0.19  0.77  0.79  0.79  0.47  0.21  0.35  0.27  0.51 -0.08 -0.39 -0.62 -0.76  1.00 -0.57  0.40 -0.33  0.57 -0.78  0.95 -0.48  0.17 -0.42 -0.45 -0.21  0.46  0.49  0.50  0.34 -0.06  0.01 -0.09 -0.32  0.00  0.19  0.15  0.15  0.10  0.14  0.11  0.10  0.07  0.11 -0.20 -0.32 -0.30 -0.11  0.01 -0.36  0.26 -0.33 -0.33  0.19 -0.04  0.23  0.20 -0.31 -0.21  0.11 -0.53 -0.36  0.59  0.61  0.64  0.54  0.58  0.60  0.57 -0.05  0.16 -0.10 -0.01 -0.01  0.09 -0.29 -0.08 -0.33 -0.33 -0.01 -0.01 -0.01  0.00 -0.02 -0.01 -0.01 -0.01  0.01  0.00 -0.03 -0.04  0.04 -0.04 -0.01 -0.01 -0.01  0.01 -0.03  0.27 -0.01 -0.01  0.00  0.00 -0.03  0.01 -0.15 
x37:  -0.04 -0.06 -0.19 -0.04 -0.03  0.15  0.14  0.39 -0.52 -0.16  0.43  0.27  0.23  0.20  0.13  0.12 -0.23 -0.65 -0.51 -0.02 -0.73  0.30  0.84  0.02 -0.68 -0.66 -0.58 -0.41 -0.21 -0.27 -0.30 -0.46  0.29  0.78  0.69  0.74 -0.57  1.00 -0.68  0.06 -0.06  0.54 -0.59  0.37  0.25  0.40  0.40  0.31 -0.65 -0.68 -0.69 -0.55 -0.21 -0.35  0.27  0.59  0.14  0.08  0.11  0.10  0.13  0.15  0.16  0.16  0.17 -0.34  0.41  0.52  0.46  0.12  0.02  0.40 -0.48  0.52  0.44 -0.34  0.19 -0.33 -0.41  0.52  0.28 -0.24  0.68  0.54 -0.43 -0.42 -0.42 -0.52 -0.50 -0.48 -0.50  0.41 -0.07  0.18  0.17  0.14  0.13  0.16 -0.01  0.19  0.19  0.13  0.14  0.17  0.14  0.14  0.15  0.16  0.14  0.13  0.12  0.24  0.18  0.05  0.26  0.14  0.16  0.16  0.05  0.17 -0.02  0.13  0.12  0.15  0.11  0.17  0.10  0.28 
x38:  -0.01 -0.01  0.15  0.07  0.06 -0.01  0.11 -0.27  0.26  0.25 -0.14 -0.19  0.01 -0.15 -0.61  0.02  0.29  0.64  0.86 -0.01  0.41 -0.73 -0.64 -0.39  0.59  0.49  0.44  0.45  0.20  0.16  0.31  0.36 -0.15 -0.70 -0.55 -0.61  0.40 -0.68  1.00  0.06 -0.19 -0.38  0.39 -0.24 -0.12 -0.19 -0.22  0.13  0.54  0.55  0.57  0.44  0.25  0.35 -0.12 -0.37  0.01 -0.06 -0.05 -0.02 -0.01  0.04  0.04  0.06  0.05  0.08 -0.12 -0.17 -0.12  0.24  0.36 -0.07  0.27 -0.20 -0.37  0.28 -0.11  0.38  0.21 -0.34 -0.35  0.31 -0.59 -0.37  0.44  0.42  0.39  0.58  0.54  0.52  0.54 -0.39  0.28 -0.10 -0.06 -0.04  0.06 -0.18 -0.10 -0.18 -0.21 -0.05 -0.09 -0.05 -0.09 -0.04 -0.08 -0.03 -0.09 -0.03 -0.02 -0.11 -0.06  0.02 -0.11 -0.06 -0.03 -0.05  0.05 -0.02  0.10 -0.05 -0.04 -0.04 -0.02 -0.06 -0.06 -0.17 
x39:   0.10  0.05  0.09 -0.06 -0.04 -0.11  0.02 -0.02  0.04 -0.10 -0.05 -0.11 -0.10 -0.16  0.01 -0.11 -0.11 -0.05  0.00 -0.15 -0.13  0.08  0.11 -0.02 -0.09 -0.15 -0.18 -0.01 -0.03  0.00 -0.05 -0.07 -0.11 -0.07  0.26  0.30 -0.33  0.06  0.06  1.00 -0.46  0.65 -0.33  0.06 -0.16  0.01  0.03  0.11 -0.02 -0.03 -0.08  0.03  0.09  0.08 -0.07  0.05 -0.04 -0.13 -0.11 -0.11 -0.11 -0.08 -0.07 -0.07 -0.06  0.05  0.01  0.02  0.05  0.11  0.12  0.06  0.04 -0.03 -0.06  0.10 -0.19  0.30  0.04 -0.01  0.05 -0.19  0.10  0.08 -0.09 -0.11 -0.13 -0.13 -0.13 -0.14 -0.12 -0.27 -0.17  0.04 -0.11 -0.10 -0.07  0.34  0.26  0.38  0.32 -0.09 -0.09 -0.07 -0.09 -0.09 -0.10 -0.08 -0.09 -0.08 -0.07 -0.09 -0.04 -0.05 -0.09 -0.09 -0.08 -0.04 -0.11  0.01 -0.18 -0.13 -0.09 -0.08 -0.08 -0.08 -0.08  0.00 
x40:   0.08  0.04  0.10 -0.02 -0.01  0.02 -0.08  0.10  0.03  0.01 -0.24  0.35  0.22  0.39  0.09  0.01 -0.05  0.03 -0.10  0.15  0.31  0.05 -0.07  0.04  0.14  0.19  0.22  0.00  0.00  0.09 -0.04  0.09  0.06  0.17 -0.24 -0.32  0.57 -0.06 -0.19 -0.46  1.00 -0.46  0.55 -0.27  0.38 -0.23 -0.25 -0.24 -0.02  0.02  0.02 -0.06  0.01  0.03  0.03  0.00 -0.07  0.25  0.20  0.16  0.10 -0.03 -0.07 -0.09 -0.12  0.19 -0.24 -0.21 -0.24 -0.29 -0.20 -0.35 -0.02 -0.25 -0.05 -0.03  0.02  0.04 -0.07  0.03  0.11 -0.21 -0.08 -0.08  0.05  0.08  0.11 -0.06 -0.02  0.01 -0.03  0.18 -0.16  0.03  0.07  0.00 -0.14  0.05 -0.05 -0.20 -0.12  0.04  0.05  0.03  0.05  0.02  0.03  0.01  0.05  0.03  0.02  0.09 -0.03  0.00  0.05  0.04  0.02  0.02  0.00 -0.04  0.16  0.04  0.03  0.02  0.00  0.02  0.04 -0.04 
x41:   0.11  0.05 -0.10 -0.08 -0.06 -0.03  0.05  0.23 -0.26 -0.28  0.21  0.11  0.10  0.03  0.15 -0.05 -0.31 -0.62 -0.37 -0.05 -0.67  0.32  0.58  0.01 -0.67 -0.69 -0.67 -0.43 -0.20 -0.30 -0.29 -0.47  0.07  0.45  0.69  0.78 -0.78  0.54 -0.38  0.65 -0.46  1.00 -0.83  0.39 -0.04  0.35  0.37  0.21 -0.47 -0.50 -0.53 -0.35  0.09 -0.01  0.08  0.40  0.00 -0.03  0.01  0.00  0.03 -0.06 -0.04 -0.05 -0.03 -0.08  0.20  0.30  0.28  0.09  0.01  0.30 -0.32  0.29  0.30 -0.17 -0.05 -0.03 -0.27  0.28  0.22 -0.24  0.58  0.41 -0.53 -0.54 -0.55 -0.56 -0.58 -0.59 -0.57  0.00 -0.25  0.10  0.00  0.00 -0.09  0.38  0.10  0.35  0.34 -0.01 -0.01 -0.01 -0.01  0.00  0.00  0.00 -0.01 -0.03 -0.02  0.04  0.04 -0.04  0.04  0.00 -0.01  0.00 -0.06  0.06 -0.21 -0.03 -0.01 -0.01 -0.02  0.01 -0.03  0.17 
x42:  -0.05 -0.02  0.15  0.04  0.03 -0.02 -0.08 -0.20  0.26  0.29 -0.29 -0.11 -0.16 -0.06 -0.14  0.00  0.23  0.73  0.38  0.07  0.77 -0.31 -0.58 -0.09  0.80  0.84  0.83  0.51  0.22  0.42  0.30  0.57 -0.11 -0.47 -0.64 -0.77  0.95 -0.59  0.39 -0.33  0.55 -0.83  1.00 -0.47  0.03 -0.42 -0.45 -0.22  0.50  0.53  0.54  0.39 -0.09 -0.01 -0.10 -0.38 -0.03  0.07  0.03  0.03 -0.02  0.06  0.03  0.03  0.01  0.14 -0.24 -0.36 -0.33 -0.11  0.00 -0.38  0.37 -0.38 -0.40  0.26 -0.06  0.23  0.31 -0.31 -0.18  0.09 -0.55 -0.38  0.61  0.63  0.65  0.55  0.59  0.61  0.58 -0.13  0.15 -0.09 -0.03 -0.03  0.06 -0.26  0.03 -0.22 -0.25 -0.02 -0.02 -0.03 -0.02 -0.03 -0.03 -0.04 -0.02 -0.01 -0.02 -0.05 -0.05  0.03 -0.05 -0.02 -0.03 -0.03  0.01 -0.06  0.25 -0.02 -0.01 -0.02 -0.02 -0.05  0.00 -0.18 
x43:  -0.10 -0.01 -0.34 -0.07 -0.02  0.23 -0.45  0.40 -0.34 -0.11  0.06 -0.21 -0.01 -0.11  0.19  0.22 -0.06 -0.56 -0.38 -0.18 -0.58  0.18  0.45  0.02 -0.56 -0.41 -0.33 -0.33 -0.09 -0.23 -0.18 -0.31  0.28  0.39  0.25  0.39 -0.48  0.37 -0.24  0.06 -0.27  0.39 -0.47  1.00  0.02  0.92  0.98 -0.25 -0.73 -0.71 -0.67 -0.66  0.18  0.10  0.27  0.48  0.09  0.07  0.12  0.15  0.19 -0.06 -0.04 -0.04 -0.02  0.08  0.01  0.02 -0.08 -0.41 -0.48 -0.02 -0.55  0.17  0.57 -0.42  0.32 -0.38 -0.52  0.35 -0.02 -0.07  0.52  0.24 -0.38 -0.37 -0.35 -0.35 -0.40 -0.42 -0.41  0.10 -0.12 -0.05  0.24  0.21 -0.12 -0.05 -0.30  0.04 -0.03  0.17  0.22  0.23  0.22  0.20  0.25  0.24  0.22  0.21  0.22  0.25  0.11  0.11  0.22  0.18  0.25  0.19  0.15  0.09 -0.08  0.24  0.17  0.22  0.22  0.24  0.20  0.26 
x44:  -0.08  0.05  0.05 -0.02 -0.02  0.25  0.15  0.28 -0.38  0.21  0.17  0.56  0.76  0.77 -0.22  0.25  0.08 -0.20  0.06 -0.07 -0.17 -0.19  0.24 -0.26 -0.13 -0.15 -0.07 -0.12 -0.08 -0.16 -0.09 -0.15  0.30  0.40  0.14  0.10  0.17  0.25 -0.12 -0.16  0.38 -0.04  0.03  0.02  1.00  0.08  0.05  0.07 -0.41 -0.39 -0.31 -0.41  0.02 -0.01  0.30  0.49  0.25  0.45  0.46  0.46  0.43  0.41  0.39  0.37  0.35 -0.25  0.25  0.24  0.16 -0.12 -0.02 -0.03 -0.59  0.27  0.43 -0.39  0.19  0.03 -0.63  0.21 -0.10 -0.27  0.09  0.17  0.10  0.11  0.11  0.03  0.04  0.06  0.00  0.43  0.14  0.12  0.28  0.21  0.28 -0.08 -0.29 -0.28 -0.18  0.20  0.22  0.25  0.24  0.20  0.22  0.23  0.22  0.22  0.22  0.27  0.17  0.14  0.27  0.21  0.27  0.23  0.04  0.41  0.35  0.19  0.20  0.26  0.17  0.24  0.21  0.15 
