Output for File: data/1990 US Census/Dataset.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  
x21:  -0.01  0.01  0.10  0.09  0.09  0.00  0.00  0.00  0.00  0.21 -0.21 -0.36  0.27  0.16  0.14  0.09  0.09 -0.17  0.64 -0.10 -0.25  1.00 -0.68  0.19 -0.10 -0.04  0.78 -0.55  0.23 -0.11  0.09 -0.54  0.22  0.54  0.10 -0.26  0.50 -0.57  0.18  0.00  0.04 -0.31  0.26 -0.34  0.25  0.17  0.13  0.08  0.09 -0.21  0.21  0.51 -0.51 -0.39  0.12  0.10  0.50  0.09  0.07 -0.07 -0.42  0.42  0.00  0.00  0.00  0.00  0.22 -0.12 -0.01 -0.04  0.01 -0.07 -0.04 -0.34  0.25  0.17  0.13  0.08 -0.32  0.24  0.17  0.10  0.07 -0.29  0.25  0.14  0.15  0.07 -0.09  0.09 -0.10 -0.11  0.23 -0.23 -0.15  0.03 -0.20 -0.13  0.13  0.09 -0.16  0.17  0.03  0.00  0.16 -0.01  0.09 -0.19  0.04  0.17  0.05  0.16  0.17  0.17  0.17  0.17  0.19  0.15  0.18  0.17  0.17  0.16  0.15  0.15  0.17  0.18  0.05  0.19  0.26  0.22  0.25  0.24  0.22  0.18  0.08 -0.05  0.04 -0.07 
x22:   0.05  0.00 -0.08 -0.07 -0.08  0.00  0.00  0.00  0.00 -0.24  0.24  0.58 -0.42 -0.33 -0.07 -0.17 -0.18 -0.40 -0.56  0.21  0.45 -0.68  1.00 -0.36  0.04 -0.19 -0.59  0.78 -0.43  0.14 -0.23  0.27 -0.08 -0.30 -0.06  0.17 -0.35  0.33 -0.54 -0.38 -0.17  0.73 -0.16  0.58 -0.41 -0.33 -0.07 -0.17 -0.17  0.36 -0.36 -0.54  0.54  0.56 -0.44 -0.06 -0.35 -0.08 -0.08  0.08  0.49 -0.49  0.00  0.00  0.00  0.00 -0.24  0.17  0.00  0.14 -0.04 -0.03  0.15  0.58 -0.41 -0.33 -0.07 -0.17  0.54 -0.39 -0.33 -0.06 -0.16  0.49 -0.39 -0.31 -0.07 -0.15  0.17 -0.17  0.25  0.17 -0.39  0.39  0.36  0.20  0.24  0.45 -0.45 -0.36  0.41 -0.44  0.17 -0.27 -0.37 -0.26 -0.36 -0.03 -0.05  0.05 -0.01  0.10  0.09  0.09  0.09  0.09  0.01 -0.04  0.04 -0.02  0.09  0.05  0.09  0.07  0.06  0.04 -0.10  0.04 -0.11 -0.16 -0.08 -0.12 -0.07  0.02 -0.08  0.00 -0.02  0.03 
x23:   0.01  0.00  0.05  0.05  0.05  0.00  0.00  0.00  0.00 -0.01  0.01 -0.41  0.48  0.03  0.01  0.06  0.07  0.00  0.07  0.02 -0.06  0.19 -0.36  1.00  0.08  0.14  0.20 -0.36  0.55  0.07  0.18 -0.14  0.13  0.07  0.12 -0.15  0.12 -0.17  0.05  0.00  0.09 -0.19  0.15 -0.40  0.47  0.03  0.00  0.06  0.06 -0.03  0.03  0.21 -0.21 -0.19  0.02  0.12  0.12  0.06 -0.04  0.04 -0.28  0.28  0.00  0.00  0.00  0.00  0.12 -0.12 -0.01 -0.02  0.00  0.01 -0.03 -0.40  0.47  0.03  0.00  0.06 -0.35  0.44  0.03  0.00  0.04 -0.41  0.47  0.03  0.00  0.05 -0.06  0.06  0.04 -0.01  0.24 -0.24 -0.24 -0.15 -0.18 -0.03  0.03 -0.01  0.00  0.01 -0.05  0.07 -0.02  0.06 -0.01 -0.03  0.05  0.01  0.01 -0.03 -0.02 -0.02 -0.02 -0.01  0.04  0.02  0.00  0.01 -0.02  0.00 -0.01 -0.04 -0.03 -0.02  0.03 -0.02  0.12  0.09  0.06  0.08  0.06  0.02  0.01  0.02 -0.01  0.02 
x24:   0.02 -0.02 -0.03 -0.03 -0.02  0.00  0.00  0.00  0.00 -0.26  0.26  0.00  0.09 -0.03 -0.10 -0.09 -0.10 -0.31 -0.27 -0.32  0.60 -0.10  0.04  0.08  1.00  0.06 -0.10 -0.12  0.05  0.57  0.02 -0.28  0.35  0.06  0.50 -0.42 -0.13 -0.27 -0.27 -0.42 -0.05  0.09  0.42 -0.01  0.09 -0.04 -0.08 -0.09 -0.10  0.57 -0.57 -0.16  0.16 -0.27 -0.24  0.50 -0.13 -0.02 -0.14  0.14  0.03 -0.03  0.00  0.00  0.00  0.00 -0.08 -0.11 -0.02  0.07 -0.02  0.10  0.05 -0.01  0.09 -0.04 -0.08 -0.09  0.00  0.09 -0.04 -0.08 -0.09 -0.02  0.09 -0.03 -0.08 -0.09  0.10 -0.10  0.52  0.37  0.13 -0.13 -0.15 -0.13 -0.07  0.25 -0.25 -0.40  0.25 -0.24  0.11 -0.12 -0.38 -0.22 -0.40  0.26 -0.17 -0.16 -0.02 -0.17 -0.17 -0.16 -0.16 -0.16 -0.15 -0.15 -0.14 -0.16 -0.16 -0.16 -0.14 -0.23 -0.23 -0.23  0.02 -0.23 -0.15 -0.16 -0.16 -0.17 -0.17 -0.16 -0.11  0.13 -0.09  0.13 
x25:  -0.10  0.01  0.02  0.02  0.02  0.00  0.00  0.00  0.00  0.10 -0.10  0.04 -0.02 -0.01 -0.03 -0.05 -0.04 -0.16 -0.14  0.22  0.02 -0.04 -0.19  0.14  0.06  1.00 -0.07 -0.12  0.12  0.08  0.55 -0.27  0.40  0.00  0.31 -0.37  0.27 -0.30 -0.27 -0.24  0.18 -0.11  0.36  0.05 -0.03 -0.01 -0.03 -0.06 -0.05 -0.03  0.03  0.28 -0.28 -0.20 -0.27  0.31  0.27  0.02 -0.19  0.19 -0.21  0.21  0.00  0.00  0.00  0.00  0.09 -0.14 -0.07  0.12 -0.01 -0.05  0.01  0.05 -0.03 -0.01 -0.03 -0.06  0.06 -0.03 -0.02 -0.03 -0.07  0.05 -0.03  0.00 -0.04 -0.05  0.05 -0.05  0.04 -0.03  0.36 -0.36 -0.37 -0.28 -0.22  0.27 -0.27 -0.31  0.24 -0.26  0.12 -0.14 -0.30 -0.14 -0.31  0.06  0.02 -0.08 -0.01 -0.11 -0.10 -0.09 -0.10 -0.09 -0.09  0.00 -0.08 -0.05 -0.10 -0.08 -0.08 -0.07 -0.08 -0.08  0.02 -0.09 -0.01  0.07 -0.02  0.01 -0.01 -0.02  0.08 -0.03  0.02  0.00 
x26:   0.01  0.02  0.10  0.10  0.10  0.00  0.00  0.00  0.00 -0.08  0.08 -0.39  0.34  0.14  0.14  0.06  0.08 -0.12  0.65 -0.10 -0.29  0.78 -0.59  0.20 -0.10 -0.07  1.00 -0.62  0.26 -0.19  0.06 -0.42  0.15  0.44  0.01 -0.18  0.50 -0.45  0.21  0.05  0.01 -0.27  0.18 -0.39  0.33  0.14  0.13  0.06  0.09 -0.25  0.25  0.52 -0.52 -0.31  0.14  0.01  0.50  0.10  0.15 -0.15 -0.38  0.38  0.00  0.00  0.00  0.00  0.24 -0.06  0.02 -0.06  0.00 -0.13 -0.02 -0.39  0.33  0.14  0.13  0.06 -0.35  0.31  0.14  0.09  0.05 -0.35  0.32  0.13  0.16  0.05 -0.09  0.09 -0.13 -0.12  0.16 -0.16 -0.06  0.14 -0.20 -0.15  0.15  0.14 -0.18  0.20  0.02  0.02  0.23  0.01  0.14 -0.28  0.11  0.22  0.05  0.22  0.23  0.23  0.23  0.23  0.25  0.19  0.24  0.21  0.23  0.23  0.22  0.21  0.23  0.24  0.06  0.25  0.32  0.24  0.29  0.27  0.27  0.24  0.10 -0.06  0.07 -0.07 
x27:   0.02  0.00 -0.08 -0.07 -0.08  0.00  0.00  0.00  0.00  0.35 -0.35  0.56 -0.48 -0.25 -0.02 -0.12 -0.12 -0.24 -0.44  0.39  0.15 -0.55  0.78 -0.36 -0.12 -0.12 -0.62  1.00 -0.50 -0.21 -0.32  0.36 -0.22 -0.29 -0.28  0.35 -0.25  0.41 -0.37 -0.19 -0.10  0.67 -0.34  0.55 -0.48 -0.25 -0.02 -0.12 -0.12  0.07 -0.07 -0.41  0.41  0.62 -0.27 -0.28 -0.25 -0.08 -0.13  0.13  0.52 -0.52  0.00  0.00  0.00  0.00 -0.29  0.16  0.00  0.19  0.00 -0.03  0.13  0.55 -0.48 -0.25 -0.02 -0.12  0.50 -0.45 -0.24 -0.01 -0.10  0.49 -0.47 -0.24 -0.02 -0.10  0.12 -0.12 -0.01 -0.05 -0.38  0.38  0.36  0.17  0.29  0.28 -0.28 -0.14  0.25 -0.28  0.07 -0.17 -0.18 -0.11 -0.14 -0.09 -0.05  0.10 -0.01  0.14  0.13  0.13  0.13  0.13  0.03 -0.01  0.05  0.02  0.13  0.08  0.10  0.16  0.14  0.12 -0.14  0.11 -0.09 -0.12 -0.06 -0.08 -0.05  0.05 -0.08 -0.04 -0.01 -0.05 
x28:  -0.01  0.01  0.07  0.07  0.07  0.00  0.00  0.00  0.00 -0.14  0.14 -0.50  0.58  0.01  0.01  0.13  0.13  0.11  0.15 -0.04 -0.13  0.23 -0.43  0.55  0.05  0.12  0.26 -0.50  1.00  0.03  0.21 -0.04  0.06  0.01  0.06 -0.09  0.11 -0.08  0.13  0.10  0.09 -0.25  0.09 -0.49  0.57  0.02  0.01  0.12  0.13 -0.08  0.08  0.24 -0.24 -0.18  0.09  0.06  0.11  0.07  0.02 -0.02 -0.35  0.35  0.00  0.00  0.00  0.00  0.19 -0.11 -0.01 -0.06  0.00 -0.02 -0.04 -0.49  0.57  0.02  0.01  0.12 -0.42  0.53  0.01  0.01  0.10 -0.49  0.58  0.02  0.00  0.12 -0.13  0.13  0.01 -0.01  0.26 -0.26 -0.26 -0.14 -0.19 -0.09  0.09  0.07 -0.05  0.06 -0.06  0.12  0.05  0.14  0.07 -0.04  0.07  0.01  0.01 -0.03 -0.02 -0.01 -0.01  0.00  0.06  0.04  0.02  0.03 -0.01  0.01  0.01 -0.05 -0.03 -0.02  0.08 -0.01  0.15  0.12  0.09  0.11  0.09  0.04  0.04  0.03  0.01  0.04 
x29:   0.05 -0.03 -0.04 -0.04 -0.04  0.00  0.00  0.00  0.00 -0.50  0.50  0.09  0.08 -0.13 -0.16 -0.15 -0.18 -0.42 -0.33 -0.44  0.79 -0.11  0.14  0.07  0.57  0.08 -0.19 -0.21  0.03  1.00  0.00 -0.36  0.46  0.07  0.71 -0.58 -0.24 -0.34 -0.41 -0.57 -0.10  0.10  0.59  0.09  0.07 -0.13 -0.14 -0.16 -0.17  0.79 -0.79 -0.32  0.32 -0.33 -0.39  0.71 -0.24 -0.04 -0.09  0.09  0.02 -0.02  0.00  0.00  0.00  0.00 -0.04 -0.11 -0.03 -0.04 -0.05  0.18  0.01  0.09  0.07 -0.13 -0.14 -0.16  0.11  0.07 -0.14 -0.13 -0.15  0.07  0.08 -0.12 -0.14 -0.15  0.17 -0.17  0.70  0.53  0.09 -0.09 -0.14 -0.12 -0.07  0.40 -0.40 -0.59  0.38 -0.38  0.20 -0.23 -0.55 -0.35 -0.59  0.42 -0.23 -0.29 -0.03 -0.30 -0.29 -0.29 -0.29 -0.28 -0.25 -0.24 -0.23 -0.26 -0.29 -0.27 -0.24 -0.40 -0.39 -0.39  0.03 -0.39 -0.25 -0.24 -0.24 -0.27 -0.28 -0.27 -0.14  0.20 -0.12  0.22 
x30:  -0.08  0.02  0.06  0.07  0.07  0.00  0.00  0.00  0.00 -0.13  0.13 -0.01  0.04 -0.04  0.02 -0.01  0.01 -0.13 -0.04  0.23 -0.07  0.09 -0.23  0.18  0.02  0.55  0.06 -0.32  0.21  0.00  1.00 -0.25  0.38 -0.02  0.24 -0.34  0.36 -0.28 -0.24 -0.16  0.20 -0.18  0.33  0.00  0.04 -0.04  0.01 -0.02  0.00 -0.13  0.13  0.37 -0.37 -0.15 -0.28  0.24  0.36  0.07 -0.01  0.01 -0.35  0.35  0.00  0.00  0.00  0.00  0.26 -0.05 -0.05  0.03 -0.05 -0.19  0.00  0.00  0.04 -0.04  0.01 -0.02  0.03  0.02 -0.05  0.01 -0.04  0.01  0.04 -0.02  0.01 -0.02  0.00  0.00 -0.01 -0.04  0.31 -0.31 -0.30 -0.13 -0.27  0.28 -0.28 -0.27  0.25 -0.25  0.19 -0.17 -0.22 -0.14 -0.27 -0.14  0.16  0.05  0.02  0.03  0.04  0.05  0.05  0.05  0.07  0.15  0.09  0.11  0.05  0.09  0.09  0.09  0.10  0.09  0.10  0.09  0.19  0.25  0.18  0.20  0.20  0.17  0.21 -0.09  0.13 -0.02 
x31:   0.00  0.03 -0.05 -0.04 -0.05  0.00  0.00  0.00  0.00  0.01 -0.01 -0.06 -0.03  0.10 -0.01  0.08  0.09  0.48 -0.23  0.24 -0.30 -0.54  0.27 -0.14 -0.28 -0.27 -0.42  0.36 -0.04 -0.36 -0.25  1.00 -0.69 -0.73 -0.61  0.74 -0.50  0.99  0.39  0.51 -0.07  0.17 -0.73 -0.07 -0.01  0.10  0.00  0.09  0.10 -0.21  0.21 -0.30  0.30  0.49  0.41 -0.61 -0.50 -0.05  0.12 -0.12  0.45 -0.45  0.00  0.00  0.00  0.00 -0.19  0.16  0.08 -0.09  0.02  0.09 -0.03 -0.07 -0.01  0.10  0.00  0.09 -0.09  0.00  0.10  0.03  0.11 -0.07 -0.01  0.10 -0.02  0.09 -0.10  0.10 -0.25 -0.14 -0.33  0.33  0.26  0.05  0.26 -0.40  0.40  0.53 -0.31  0.34 -0.27  0.30  0.45  0.40  0.53  0.03  0.00 -0.02 -0.02  0.00 -0.01 -0.02 -0.02 -0.02  0.00 -0.01 -0.03  0.00 -0.02 -0.01 -0.02  0.02  0.01  0.01 -0.03  0.01 -0.10 -0.12 -0.11 -0.09 -0.08 -0.07 -0.08 -0.01 -0.03 -0.04 
x32:  -0.02 -0.02  0.05  0.05  0.06  0.00  0.00  0.00  0.00 -0.22  0.22  0.16 -0.05 -0.13 -0.03 -0.13 -0.14 -0.47 -0.20 -0.04  0.44  0.22 -0.08  0.13  0.35  0.40  0.15 -0.22  0.06  0.46  0.38 -0.69  1.00  0.01  0.82 -0.94  0.53 -0.69 -0.53 -0.72  0.14 -0.11  0.93  0.16 -0.05 -0.13 -0.03 -0.14 -0.14  0.36 -0.36  0.31 -0.31 -0.61 -0.55  0.82  0.53  0.07 -0.23  0.23 -0.33  0.33  0.00  0.00  0.00  0.00  0.16 -0.17 -0.09  0.15 -0.03 -0.10  0.05  0.16 -0.05 -0.13 -0.03 -0.14  0.19 -0.07 -0.13 -0.05 -0.16  0.14 -0.05 -0.12 -0.01 -0.13  0.14 -0.14  0.41  0.22  0.40 -0.40 -0.32 -0.10 -0.29  0.53 -0.53 -0.73  0.45 -0.46  0.33 -0.39 -0.61 -0.52 -0.73  0.04 -0.07  0.00  0.03 -0.03 -0.02  0.00 -0.01  0.00 -0.03  0.00  0.00  0.00 -0.01 -0.01  0.02 -0.04 -0.04 -0.05  0.02 -0.05  0.06  0.11  0.07  0.07  0.05  0.06  0.05  0.04  0.02  0.07 
x33:   0.01 -0.02  0.02  0.01  0.01  0.00  0.00  0.00  0.00  0.19 -0.19 -0.07  0.09 -0.02  0.04  0.02  0.01 -0.22  0.50 -0.29  0.01  0.54 -0.30  0.07  0.06  0.00  0.44 -0.29  0.01  0.07 -0.02 -0.73  0.01  1.00  0.07 -0.13  0.20 -0.72 -0.04 -0.02 -0.03 -0.13  0.14 -0.05  0.07 -0.02  0.03  0.00 -0.01 -0.05  0.05  0.13 -0.13 -0.11 -0.05  0.07  0.20  0.01  0.04 -0.04 -0.31  0.31  0.00  0.00  0.00  0.00  0.11 -0.07 -0.02 -0.02  0.01 -0.03  0.00 -0.05  0.07 -0.02  0.03  0.00 -0.06  0.06 -0.01  0.01  0.00 -0.04  0.06 -0.02  0.04  0.00  0.01 -0.01 -0.05 -0.01  0.09 -0.09 -0.05  0.02 -0.08  0.05 -0.05 -0.05  0.00 -0.04  0.06 -0.05 -0.05 -0.06 -0.05 -0.08  0.06  0.03  0.00  0.02  0.03  0.04  0.03  0.03  0.03  0.01  0.03  0.01  0.03  0.02  0.01  0.01  0.02  0.03  0.03  0.03  0.08  0.07  0.08  0.06  0.06  0.04  0.07 -0.03  0.02 -0.01 
x34:   0.03 -0.03  0.02  0.01  0.03  0.00  0.00  0.00  0.00 -0.34  0.34  0.11  0.03 -0.10 -0.13 -0.16 -0.18 -0.40 -0.24 -0.28  0.60  0.10 -0.06  0.12  0.50  0.31  0.01 -0.28  0.06  0.71  0.24 -0.61  0.82  0.07  1.00 -0.94  0.05 -0.60 -0.47 -0.70 -0.03 -0.14  0.95  0.11  0.03 -0.11 -0.12 -0.17 -0.19  0.59 -0.59 -0.09  0.09 -0.65 -0.50  1.00  0.05  0.03 -0.20  0.20 -0.22  0.22  0.00  0.00  0.00  0.00  0.11 -0.20 -0.08  0.03 -0.04  0.08 -0.02  0.11  0.03 -0.11 -0.12 -0.17  0.14  0.01 -0.11 -0.13 -0.18  0.10  0.03 -0.10 -0.11 -0.16  0.19 -0.19  0.59  0.40  0.35 -0.35 -0.33 -0.16 -0.24  0.50 -0.50 -0.77  0.44 -0.44  0.31 -0.34 -0.65 -0.53 -0.77  0.33 -0.16 -0.23 -0.01 -0.27 -0.26 -0.24 -0.25 -0.24 -0.23 -0.18 -0.20 -0.20 -0.25 -0.23 -0.20 -0.33 -0.34 -0.34  0.03 -0.34 -0.16 -0.10 -0.15 -0.16 -0.19 -0.19 -0.05  0.16 -0.08  0.18 
x35:   0.00  0.03 -0.05 -0.05 -0.06  0.00  0.00  0.00  0.00  0.27 -0.27 -0.10 -0.02  0.10  0.06  0.13  0.15  0.43  0.14  0.19 -0.48 -0.26  0.17 -0.15 -0.42 -0.37 -0.18  0.35 -0.09 -0.58 -0.34  0.74 -0.94 -0.13 -0.94  1.00 -0.38  0.73  0.47  0.71 -0.07  0.20 -1.00 -0.11 -0.01  0.11  0.06  0.15  0.16 -0.44  0.44 -0.20  0.20  0.70  0.51 -0.94 -0.38 -0.06  0.20 -0.20  0.34 -0.34  0.00  0.00  0.00  0.00 -0.18  0.20  0.09 -0.08  0.03  0.02  0.00 -0.11 -0.01  0.11  0.06  0.15 -0.14  0.01  0.11  0.08  0.16 -0.09 -0.02  0.10  0.05  0.14 -0.16  0.16 -0.49 -0.30 -0.42  0.42  0.36  0.13  0.31 -0.50  0.50  0.75 -0.43  0.43 -0.33  0.37  0.61  0.53  0.75 -0.17  0.10  0.11 -0.01  0.15  0.14  0.12  0.13  0.12  0.12  0.07  0.09  0.09  0.13  0.12  0.09  0.18  0.18  0.18 -0.04  0.18  0.03 -0.03  0.02  0.02  0.04  0.05 -0.02 -0.10  0.02 -0.13 
x36:  -0.06  0.01  0.10  0.10  0.10  0.00  0.00  0.00  0.00  0.13 -0.13 -0.01 -0.03 -0.02  0.17  0.04  0.05 -0.16  0.26  0.20 -0.23  0.50 -0.35  0.12 -0.13  0.27  0.50 -0.25  0.11 -0.24  0.36 -0.50  0.53  0.20  0.05 -0.38  1.00 -0.53 -0.11 -0.18  0.29 -0.20  0.37  0.00 -0.03 -0.02  0.15  0.03  0.04 -0.31  0.31  0.84 -0.84 -0.31 -0.15  0.05  1.00  0.10 -0.04  0.04 -0.39  0.39  0.00  0.00  0.00  0.00  0.23 -0.05 -0.04  0.15  0.01 -0.28  0.05  0.00 -0.03 -0.02  0.15  0.03  0.02 -0.05 -0.02  0.11  0.01  0.01 -0.03 -0.02  0.17  0.03 -0.04  0.04 -0.18 -0.23  0.28 -0.28 -0.17  0.07 -0.25  0.13 -0.13 -0.11  0.07 -0.07  0.14 -0.15 -0.03 -0.13 -0.11 -0.39  0.15  0.32  0.06  0.29  0.30  0.31  0.30  0.30  0.26  0.28  0.28  0.29  0.31  0.29  0.30  0.37  0.37  0.38  0.05  0.38  0.36  0.38  0.35  0.37  0.38  0.37  0.20 -0.14  0.16 -0.13 
x37:   0.02  0.02 -0.06 -0.05 -0.06  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.04  0.06 -0.03  0.05  0.06  0.45 -0.25  0.24 -0.27 -0.57  0.33 -0.17 -0.27 -0.30 -0.45  0.41 -0.08 -0.34 -0.28  0.99 -0.69 -0.72 -0.60  0.73 -0.53  1.00  0.36  0.48 -0.10  0.20 -0.73 -0.03 -0.03  0.06 -0.02  0.06  0.08 -0.18  0.18 -0.39  0.39  0.52  0.37 -0.60 -0.53 -0.06  0.12 -0.12  0.48 -0.48  0.00  0.00  0.00  0.00 -0.20  0.17  0.08 -0.10  0.01  0.10 -0.03 -0.03 -0.03  0.06 -0.02  0.06 -0.05 -0.01  0.07  0.01  0.08 -0.03 -0.02  0.06 -0.04  0.06 -0.08  0.08 -0.23 -0.12 -0.37  0.37  0.29  0.07  0.28 -0.36  0.36  0.50 -0.28  0.31 -0.25  0.27  0.41  0.36  0.50  0.04  0.00 -0.03 -0.03 -0.01 -0.03 -0.04 -0.04 -0.04 -0.01 -0.03 -0.04 -0.02 -0.03 -0.03 -0.04  0.00 -0.01 -0.01 -0.04 -0.01 -0.12 -0.15 -0.13 -0.12 -0.11 -0.09 -0.10  0.00 -0.03 -0.03 
x38:  -0.04  0.02  0.02  0.02  0.01  0.00  0.00  0.00  0.00  0.22 -0.22 -0.51  0.19  0.40  0.12  0.32  0.33  0.75  0.41 -0.16 -0.58  0.18 -0.54  0.05 -0.27 -0.27  0.21 -0.37  0.13 -0.41 -0.24  0.39 -0.53 -0.04 -0.47  0.47 -0.11  0.36  1.00  0.81  0.04 -0.57 -0.47 -0.51  0.20  0.41  0.13  0.34  0.34 -0.46  0.46  0.15 -0.15 -0.24  0.93 -0.47 -0.11  0.01  0.17 -0.17 -0.07  0.07  0.00  0.00  0.00  0.00  0.00  0.00  0.06 -0.17  0.09  0.10 -0.12 -0.51  0.20  0.41  0.13  0.34 -0.53  0.21  0.41  0.13  0.33 -0.41  0.18  0.37  0.10  0.31 -0.34  0.34 -0.45 -0.22  0.05 -0.05 -0.05 -0.10  0.01 -0.93  0.93  0.91 -0.82  0.87 -0.47  0.59  0.85  0.60  0.91 -0.01  0.03  0.00  0.00 -0.02 -0.02 -0.03 -0.03 -0.04  0.02  0.05 -0.02  0.05 -0.03 -0.01 -0.06  0.01  0.02  0.04  0.03  0.04  0.02  0.04  0.01  0.05  0.02 -0.04  0.00 -0.02 -0.01 -0.08 
x39:  -0.03  0.02 -0.01 -0.01 -0.02  0.00  0.00  0.00  0.00  0.28 -0.28 -0.36  0.13  0.31  0.07  0.24  0.25  0.80  0.41 -0.01 -0.72  0.00 -0.38  0.00 -0.42 -0.24  0.05 -0.19  0.10 -0.57 -0.16  0.51 -0.72 -0.02 -0.70  0.71 -0.18  0.48  0.81  1.00  0.05 -0.55 -0.71 -0.37  0.14  0.31  0.07  0.26  0.26 -0.66  0.66  0.08 -0.08  0.18  0.74 -0.70 -0.18 -0.02  0.24 -0.24 -0.06  0.06  0.00  0.00  0.00  0.00  0.02  0.08  0.07 -0.21  0.06  0.07 -0.14 -0.37  0.14  0.31  0.07  0.26 -0.40  0.15  0.31  0.08  0.26 -0.30  0.12  0.29  0.05  0.23 -0.26  0.26 -0.68 -0.36 -0.08  0.08  0.04 -0.08  0.10 -0.74  0.74  0.88 -0.66  0.67 -0.39  0.49  0.77  0.61  0.88 -0.05  0.14 -0.03 -0.02 -0.04 -0.05 -0.06 -0.06 -0.07  0.00  0.03 -0.05  0.02 -0.06 -0.03 -0.09  0.03  0.03  0.04  0.03  0.04  0.01  0.04 -0.01  0.04  0.02 -0.05  0.05 -0.07  0.02 -0.11 
x40:  -0.03  0.01  0.01  0.01  0.00  0.00  0.00  0.00  0.00  0.08 -0.08 -0.02 -0.01  0.01  0.02  0.04  0.03  0.11  0.04  0.05 -0.13  0.04 -0.17  0.09 -0.05  0.18  0.01 -0.10  0.09 -0.10  0.20 -0.07  0.14 -0.03 -0.03 -0.07  0.29 -0.10  0.04  0.05  1.00 -0.15  0.01 -0.01 -0.01  0.01  0.02  0.03  0.02 -0.14  0.14  0.30 -0.30 -0.09  0.02 -0.03  0.29  0.00  0.00  0.00 -0.09  0.09  0.00  0.00  0.00  0.00  0.04 -0.03  0.00  0.03  0.00 -0.04 -0.01 -0.01 -0.01  0.01  0.02  0.03 -0.01 -0.01  0.01  0.02  0.03  0.00 -0.01  0.01  0.01  0.04 -0.02  0.02 -0.11 -0.11  0.11 -0.11 -0.11 -0.09 -0.07 -0.03  0.03  0.04 -0.03  0.02  0.00  0.02  0.03  0.06  0.04 -0.02  0.06 -0.01 -0.01 -0.04 -0.04 -0.04 -0.04 -0.04 -0.03  0.02 -0.03  0.00 -0.04 -0.03 -0.03  0.01  0.01  0.01  0.02  0.01  0.01  0.06  0.01  0.04  0.03  0.01  0.05 -0.05  0.03 -0.04 
x41:   0.04  0.01 -0.04 -0.04 -0.04  0.00  0.00  0.00  0.00 -0.07  0.07  0.39 -0.20 -0.30 -0.02 -0.18 -0.17 -0.60 -0.40  0.24  0.44 -0.31  0.73 -0.19  0.09 -0.11 -0.27  0.67 -0.25  0.10 -0.18  0.17 -0.11 -0.13 -0.14  0.20 -0.20  0.20 -0.57 -0.55 -0.15  1.00 -0.19  0.39 -0.21 -0.30 -0.02 -0.18 -0.17  0.39 -0.39 -0.35  0.35  0.58 -0.43 -0.14 -0.20 -0.04 -0.10  0.10  0.48 -0.48  0.00  0.00  0.00  0.00 -0.23  0.13  0.01  0.20 -0.05 -0.07  0.20  0.39 -0.21 -0.30 -0.02 -0.18  0.38 -0.20 -0.30 -0.02 -0.17  0.30 -0.19 -0.29 -0.01 -0.16  0.17 -0.17  0.37  0.15 -0.38  0.38  0.38  0.26  0.22  0.43 -0.43 -0.34  0.41 -0.42  0.15 -0.25 -0.35 -0.22 -0.34 -0.14 -0.07  0.16  0.01  0.23  0.23  0.23  0.23  0.23  0.15  0.04  0.17  0.09  0.23  0.18  0.22  0.18  0.17  0.16 -0.10  0.16  0.02 -0.10  0.03 -0.03  0.03  0.13 -0.10 -0.01 -0.01  0.01 
