Output for File: data/Communities and Crime Unnormalized/CommViolPredUnnormalizedData.txt
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  x138  x139  x140  x141  x142  x143  x144  x145  x146  
x117: -0.05  0.00  0.01 -0.02 -0.05  0.91 -0.03  0.12 -0.14  0.04  0.05 -0.01  0.02  0.01 -0.01  0.91  0.07 -0.05 -0.03 -0.05 -0.06 -0.01  0.09 -0.03 -0.05 -0.02  0.03 -0.02 -0.01 -0.02 -0.02 -0.03  0.90  0.08  0.04  0.06 -0.01  0.08 -0.04 -0.05  0.02  0.00 -0.01  0.07  0.10  0.08  0.08  0.03 -0.13 -0.13 -0.11 -0.13 -0.05 -0.07  0.91  0.17  0.90  0.04  0.05  0.06  0.06  0.10  0.10  0.11  0.11 -0.08  0.09  0.07  0.04 -0.03 -0.01  0.01 -0.13  0.08  0.11 -0.08  0.76 -0.03 -0.13  0.12  0.01 -0.07  0.05  0.08  0.00  0.01  0.02  0.05 -0.02 -0.01  0.00  0.03 -0.02  0.04  0.02  0.03  0.95  0.95  0.10 -0.04  0.00  0.02 -0.02  0.93  0.21  0.93  0.21  0.84  0.19  0.19  0.21  0.22  0.21  0.23  0.14  0.10  0.25  1.00  0.26  0.21  0.13  0.21  0.31  0.72  0.89  0.23  0.17  0.22  0.19  0.89  0.18  0.77  0.07  0.93  0.25  0.84  0.10  0.85  0.09  0.83  0.05  0.90  0.17  0.76  0.10  0.16 -0.04 
x118: -0.03  0.03  0.05 -0.03  0.01  0.36 -0.10  0.27 -0.30  0.10  0.11 -0.02  0.09  0.04 -0.02  0.36  0.26 -0.12 -0.06 -0.15 -0.16 -0.03  0.19 -0.06 -0.12 -0.05  0.02 -0.07  0.00 -0.07 -0.03 -0.06  0.34  0.18  0.06  0.10 -0.02  0.17 -0.06 -0.09  0.03  0.00 -0.03  0.26  0.24  0.28  0.27  0.02 -0.32 -0.33 -0.28 -0.33 -0.05 -0.09  0.30  0.36  0.21  0.14  0.16  0.19  0.20  0.20  0.20  0.21  0.21 -0.15  0.16  0.13  0.07 -0.09 -0.07  0.00 -0.29  0.14  0.26 -0.23  0.41 -0.09 -0.30  0.30 -0.03 -0.13  0.11  0.09 -0.01  0.01  0.02  0.06 -0.03 -0.02 -0.01  0.04 -0.03  0.14  0.08  0.07  0.25  0.17  0.17 -0.14 -0.09  0.03 -0.09  0.31  0.62  0.30  0.62  0.37  0.59  0.81  0.62  0.94  0.93  0.60  0.38  0.36  0.65  0.26  1.00  0.72  0.17  0.24  0.27  0.53  0.31  0.94  0.68  0.75  0.56  0.30  0.36  0.43  0.25  0.24  0.46  0.31  0.26  0.41  0.30  0.43  0.21  0.33  0.43  0.33  0.24  0.35 -0.01 
x119:  0.00  0.01  0.01  0.00  0.02  0.28 -0.05  0.17 -0.23  0.14  0.14 -0.01  0.07  0.03 -0.01  0.28  0.21 -0.08 -0.06 -0.12 -0.12 -0.02  0.17 -0.04 -0.07 -0.02  0.03 -0.04 -0.01 -0.05 -0.03 -0.05  0.25  0.14  0.08  0.09 -0.01  0.14 -0.06 -0.04  0.02  0.00 -0.02  0.18  0.20  0.21  0.20  0.05 -0.25 -0.25 -0.21 -0.25 -0.07 -0.11  0.22  0.28  0.18  0.11  0.13  0.15  0.16  0.22  0.22  0.23  0.23 -0.19  0.19  0.14  0.09 -0.05 -0.02  0.03 -0.25  0.16  0.22 -0.20  0.28 -0.04 -0.25  0.18 -0.06 -0.12  0.07  0.09  0.05  0.06  0.06  0.08  0.01  0.02  0.03  0.05  0.01  0.13  0.09  0.03  0.22  0.16  0.21 -0.13 -0.06  0.04 -0.06  0.22  0.46  0.22  0.46  0.25  0.44  0.66  0.46  0.75  0.74  0.44  0.41  0.32  0.56  0.21  0.72  1.00  0.11  0.22  0.21  0.37  0.23  0.76  0.58  0.57  0.45  0.22  0.26  0.33  0.18  0.19  0.37  0.23  0.19  0.31  0.23  0.32  0.15  0.26  0.36  0.23  0.20  0.28  0.01 
x120:  0.01  0.08  0.03  0.01  0.01  0.21  0.00  0.04 -0.05  0.00  0.00  0.00  0.02  0.01 -0.05  0.21  0.00 -0.02  0.02  0.00  0.00 -0.06  0.03 -0.01 -0.02 -0.02  0.00 -0.02 -0.01 -0.02  0.00 -0.02  0.20  0.02 -0.03 -0.02 -0.01  0.02  0.02 -0.09 -0.02 -0.04  0.00  0.08  0.01  0.08  0.08  0.01 -0.03 -0.04 -0.03 -0.03 -0.02 -0.02  0.16  0.04  0.14  0.01  0.01  0.03  0.03 -0.01 -0.01 -0.01 -0.01  0.01 -0.01  0.01  0.00 -0.01 -0.02  0.02 -0.04  0.02  0.05 -0.05  0.28 -0.12 -0.03  0.09  0.02  0.08  0.03  0.14 -0.04 -0.03 -0.03  0.00 -0.02 -0.01 -0.01  0.01 -0.02  0.00  0.03 -0.02  0.14  0.11 -0.02 -0.07 -0.08 -0.06 -0.08  0.16  0.06  0.16  0.06  0.19  0.07  0.14  0.06  0.15  0.14  0.12  0.08  0.06  0.13  0.13  0.17  0.11  1.00 -0.07  0.01  0.27  0.16  0.15  0.14  0.09  0.06  0.18  0.09  0.27  0.11  0.14  0.07  0.18  0.06  0.23  0.08  0.24  0.03  0.20  0.07  0.21  0.08  0.08  0.01 
x121: -0.03 -0.19 -0.02  0.02 -0.03  0.22  0.02  0.11 -0.32  0.29  0.36 -0.07  0.09  0.03  0.01  0.23  0.29 -0.04 -0.04 -0.22 -0.12 -0.02  0.19 -0.09 -0.03  0.00  0.04  0.04  0.00 -0.03  0.00 -0.02  0.22  0.08  0.23  0.21 -0.03  0.17 -0.03  0.02 -0.04  0.11 -0.07  0.08  0.35  0.16  0.12  0.19 -0.24 -0.24 -0.16 -0.24 -0.14 -0.20  0.24  0.31  0.23  0.12  0.15  0.18  0.21  0.59  0.60  0.61  0.62 -0.50  0.54  0.35  0.29  0.05  0.10  0.12 -0.42  0.43  0.40 -0.31  0.18  0.10 -0.43  0.13 -0.16 -0.38 -0.01  0.16  0.23  0.23  0.22  0.17  0.20  0.19  0.20  0.13  0.16  0.19  0.28  0.17  0.23  0.20  0.62 -0.22  0.03  0.11 -0.02  0.22  0.17  0.22  0.18  0.22  0.16  0.20  0.17  0.24  0.23  0.19  0.19  0.14  0.25  0.21  0.24  0.22 -0.07  1.00  0.61  0.19  0.22  0.25  0.10  0.18  0.17  0.21  0.18  0.18  0.02  0.23  0.44  0.21  0.13  0.22  0.12  0.20 -0.02  0.23  0.43  0.19  0.12  0.24 -0.02 
x122: -0.01 -0.24 -0.01  0.16 -0.02  0.33 -0.05  0.19 -0.24  0.23  0.09 -0.13 -0.02 -0.03  0.00  0.34  0.30  0.21  0.06 -0.20  0.12 -0.05  0.02 -0.06  0.23  0.27  0.33  0.12  0.06  0.09  0.09  0.16  0.32 -0.07 -0.04 -0.05  0.25  0.01  0.07 -0.19  0.15 -0.18  0.23 -0.06  0.30 -0.03 -0.05  0.07 -0.11 -0.10 -0.04 -0.14 -0.17 -0.18  0.35  0.26  0.29  0.07  0.09  0.11  0.11  0.36  0.36  0.36  0.36 -0.25  0.22  0.13  0.08 -0.03  0.07 -0.09 -0.18  0.10  0.16 -0.13  0.31  0.06 -0.21  0.17 -0.02 -0.36 -0.15  0.06  0.33  0.35  0.36  0.34  0.27  0.32  0.35  0.35  0.29  0.09  0.23  0.31  0.36  0.29  0.38 -0.17  0.16  0.07 -0.05  0.35  0.22  0.35  0.23  0.33  0.19  0.19  0.22  0.24  0.24  0.28  0.13  0.13  0.27  0.31  0.27  0.21  0.01  0.61  1.00  0.30  0.34  0.26  0.12  0.17  0.20  0.33  0.19  0.29 -0.01  0.33  0.39  0.31  0.06  0.33  0.05  0.32 -0.05  0.34  0.35  0.27  0.06  0.18 -0.01 
x123: -0.04  0.04  0.03 -0.06 -0.03  0.87 -0.06  0.21 -0.23  0.05  0.10 -0.01  0.05  0.02 -0.02  0.87  0.13 -0.10 -0.05 -0.08 -0.12 -0.03  0.14 -0.06 -0.10 -0.04  0.03 -0.05 -0.02 -0.04 -0.03 -0.06  0.87  0.15  0.06  0.08 -0.01  0.12 -0.05 -0.10  0.02 -0.01 -0.02  0.18  0.15  0.19  0.19  0.04 -0.22 -0.23 -0.19 -0.22 -0.05 -0.09  0.83  0.28  0.75  0.07  0.09  0.11  0.13  0.14  0.14  0.15  0.15 -0.11  0.13  0.11  0.06 -0.05 -0.03  0.01 -0.19  0.13  0.18 -0.16  0.91 -0.09 -0.20  0.24  0.00 -0.06  0.09  0.10 -0.04 -0.02  0.00  0.05 -0.05 -0.05 -0.03  0.01 -0.05  0.08  0.03  0.01  0.73  0.66  0.13 -0.09 -0.05  0.03 -0.05  0.84  0.40  0.83  0.40  0.87  0.39  0.42  0.40  0.46  0.43  0.43  0.28  0.18  0.47  0.72  0.53  0.37  0.27  0.19  0.30  1.00  0.84  0.46  0.37  0.32  0.38  0.86  0.33  0.84  0.17  0.78  0.39  0.84  0.20  0.91  0.20  0.91  0.13  0.87  0.33  0.83  0.19  0.27 -0.03 
x124: -0.04  0.01  0.01 -0.03 -0.04  0.95 -0.02  0.13 -0.16  0.05  0.07 -0.01  0.03  0.01 -0.02  0.95  0.07 -0.05 -0.03 -0.05 -0.07 -0.02  0.11 -0.04 -0.05 -0.02  0.03 -0.02 -0.01 -0.02 -0.02 -0.04  0.96  0.09  0.05  0.06 -0.01  0.09 -0.04 -0.05  0.02  0.00 -0.01  0.09  0.11  0.10  0.09  0.05 -0.14 -0.15 -0.12 -0.14 -0.06 -0.08  0.97  0.19  0.88  0.04  0.05  0.06  0.07  0.12  0.12  0.13  0.13 -0.10  0.11  0.09  0.06 -0.02  0.00  0.01 -0.14  0.09  0.12 -0.10  0.87 -0.03 -0.14  0.15  0.01 -0.08  0.05  0.09  0.00  0.01  0.02  0.05 -0.02 -0.01  0.00  0.03 -0.01  0.05  0.03  0.02  0.92  0.88  0.12 -0.05  0.00  0.03 -0.01  0.99  0.23  0.98  0.23  0.90  0.20  0.21  0.23  0.25  0.23  0.27  0.17  0.13  0.29  0.89  0.31  0.23  0.16  0.22  0.34  0.84  1.00  0.25  0.20  0.16  0.23  0.94  0.22  0.74  0.06  0.96  0.30  0.94  0.12  0.93  0.10  0.92  0.05  0.94  0.21  0.81  0.12  0.15 -0.04 
x125: -0.02  0.03  0.05 -0.01  0.01  0.30 -0.10  0.26 -0.29  0.09  0.12 -0.02  0.09  0.04 -0.01  0.31  0.28 -0.12 -0.07 -0.16 -0.15 -0.03  0.19 -0.05 -0.10 -0.04  0.03 -0.06 -0.01 -0.06 -0.02 -0.06  0.28  0.18  0.07  0.11 -0.01  0.17 -0.07 -0.09  0.03 -0.01 -0.03  0.24  0.24  0.27  0.26  0.02 -0.32 -0.32 -0.27 -0.32 -0.06 -0.10  0.25  0.35  0.17  0.13  0.16  0.18  0.19  0.21  0.21  0.21  0.22 -0.17  0.17  0.13  0.07 -0.09 -0.06  0.00 -0.30  0.14  0.26 -0.24  0.35 -0.09 -0.30  0.28 -0.03 -0.15  0.11  0.09  0.01  0.02  0.03  0.06 -0.03 -0.02  0.00  0.05 -0.02  0.14  0.08  0.08  0.22  0.14  0.19 -0.14 -0.07  0.03 -0.09  0.26  0.62  0.26  0.63  0.32  0.59  0.85  0.62  0.98  0.97  0.59  0.43  0.35  0.67  0.23  0.94  0.76  0.15  0.25  0.26  0.46  0.25  1.00  0.69  0.79  0.56  0.25  0.34  0.38  0.25  0.20  0.45  0.26  0.26  0.35  0.30  0.37  0.22  0.27  0.41  0.28  0.24  0.34  0.00 
x126: -0.01  0.05  0.01 -0.08  0.00  0.24 -0.07  0.19 -0.23  0.10  0.10 -0.01  0.06  0.03 -0.03  0.25  0.19 -0.10 -0.04 -0.09 -0.13 -0.05  0.13 -0.06 -0.09 -0.03  0.03 -0.05  0.01 -0.07 -0.03 -0.06  0.23  0.15  0.02  0.05 -0.01  0.10 -0.04 -0.08  0.01 -0.01 -0.02  0.22  0.15  0.24  0.24  0.02 -0.23 -0.24 -0.20 -0.22 -0.02 -0.06  0.19  0.25  0.14  0.12  0.14  0.16  0.18  0.15  0.16  0.16  0.16 -0.11  0.12  0.11  0.06 -0.06 -0.06  0.03 -0.21  0.14  0.20 -0.18  0.29 -0.10 -0.21  0.19 -0.06 -0.03  0.09  0.05 -0.01  0.00  0.02  0.06 -0.02 -0.02 -0.02  0.00 -0.03  0.12  0.06 -0.02  0.17  0.11  0.13 -0.14 -0.11  0.00 -0.09  0.19  0.41  0.19  0.40  0.24  0.43  0.66  0.41  0.69  0.67  0.43  0.33  0.34  0.51  0.17  0.68  0.58  0.14  0.10  0.12  0.37  0.20  0.69  1.00  0.53  0.39  0.19  0.28  0.32  0.23  0.16  0.34  0.22  0.22  0.29  0.26  0.31  0.20  0.22  0.31  0.22  0.20  0.30  0.00 
x127: -0.04  0.04  0.04 -0.03  0.00  0.20 -0.08  0.25 -0.26  0.06  0.08  0.00  0.08  0.05  0.00  0.20  0.22 -0.12 -0.07 -0.14 -0.15 -0.01  0.17 -0.04 -0.12 -0.06  0.01 -0.07 -0.01 -0.06 -0.02 -0.07  0.18  0.17  0.07  0.10 -0.03  0.16 -0.07 -0.07  0.04  0.02 -0.04  0.23  0.19  0.24  0.24  0.01 -0.29 -0.30 -0.26 -0.29 -0.03 -0.06  0.16  0.32  0.11  0.11  0.13  0.15  0.16  0.14  0.15  0.15  0.15 -0.11  0.12  0.10  0.05 -0.09 -0.08  0.01 -0.26  0.12  0.23 -0.20  0.22 -0.08 -0.25  0.23 -0.02 -0.11  0.12  0.08 -0.03 -0.02  0.00  0.04 -0.05 -0.04 -0.03  0.02 -0.05  0.13  0.06  0.07  0.14  0.10  0.13 -0.11 -0.08  0.01 -0.09  0.17  0.53  0.16  0.54  0.21  0.53  0.71  0.53  0.78  0.78  0.52  0.30  0.29  0.55  0.22  0.75  0.57  0.09  0.18  0.17  0.32  0.16  0.79  0.53  1.00  0.48  0.16  0.29  0.25  0.21  0.13  0.37  0.17  0.25  0.23  0.27  0.25  0.21  0.17  0.31  0.18  0.21  0.30 -0.01 
x128:  0.01  0.02  0.01 -0.02  0.03  0.18 -0.09  0.19 -0.19  0.03  0.06 -0.04  0.01  0.00  0.06  0.19  0.13 -0.06 -0.08 -0.08 -0.08  0.03  0.11  0.00 -0.05  0.01  0.06 -0.04  0.01  0.01 -0.01 -0.02  0.18  0.10  0.04  0.06  0.01  0.08 -0.07 -0.07  0.04 -0.02  0.01  0.17  0.14  0.17  0.17 -0.02 -0.22 -0.23 -0.19 -0.23 -0.03 -0.06  0.18  0.24  0.12  0.06  0.08  0.10  0.10  0.12  0.13  0.13  0.13 -0.09  0.10  0.07  0.03 -0.09 -0.08 -0.01 -0.18  0.08  0.17 -0.15  0.22 -0.09 -0.18  0.18 -0.01 -0.10  0.07  0.07  0.02  0.03  0.05  0.08 -0.01  0.00  0.01  0.04 -0.01  0.09  0.06  0.06  0.15  0.10  0.12 -0.13 -0.04  0.01 -0.07  0.21  0.95  0.21  0.95  0.24  0.87  0.47  0.95  0.56  0.56  0.38  0.22  0.19  0.40  0.19  0.56  0.45  0.06  0.17  0.20  0.38  0.23  0.56  0.39  0.48  1.00  0.18  0.23  0.20  0.13  0.15  0.31  0.18  0.17  0.22  0.19  0.22  0.14  0.19  0.26  0.17  0.12  0.23  0.03 
x129: -0.05  0.02  0.02 -0.04 -0.05  0.96 -0.01  0.20 -0.22  0.05  0.08  0.00  0.03  0.01 -0.03  0.96  0.08 -0.07 -0.05 -0.06 -0.11 -0.02  0.14 -0.05 -0.08 -0.04  0.03 -0.03 -0.01 -0.03 -0.03 -0.05  0.98  0.12  0.07  0.09 -0.03  0.13 -0.06 -0.05  0.02  0.02 -0.03  0.12  0.13  0.13  0.13  0.07 -0.19 -0.19 -0.16 -0.18 -0.06 -0.09  0.98  0.25  0.89  0.05  0.06  0.07  0.09  0.12  0.12  0.12  0.13 -0.09  0.11  0.12  0.08 -0.01  0.01  0.04 -0.15  0.12  0.13 -0.10  0.90 -0.05 -0.15  0.21  0.02 -0.08  0.08  0.11 -0.02 -0.01  0.01  0.05 -0.04 -0.03 -0.02  0.02 -0.03  0.07  0.02  0.03  0.89  0.85  0.11 -0.04  0.00  0.05  0.00  0.96  0.20  0.96  0.20  0.92  0.18  0.22  0.20  0.24  0.21  0.35  0.18  0.12  0.35  0.89  0.30  0.22  0.18  0.21  0.33  0.86  0.94  0.25  0.19  0.16  0.18  1.00  0.34  0.83  0.10  0.96  0.35  0.94  0.16  0.96  0.14  0.93  0.07  0.97  0.25  0.90  0.16  0.21 -0.05 
x130: -0.05  0.12  0.02 -0.16 -0.03  0.24  0.02  0.65 -0.67  0.01  0.18  0.05  0.09  0.05  0.02  0.24  0.06 -0.34 -0.26 -0.13 -0.49  0.08  0.52 -0.07 -0.36 -0.28 -0.15 -0.18 -0.05 -0.13 -0.11 -0.18  0.28  0.48  0.32  0.41 -0.24  0.47 -0.30 -0.01 -0.02  0.27 -0.26  0.44  0.24  0.46  0.46  0.18 -0.61 -0.64 -0.59 -0.59 -0.06 -0.17  0.29  0.68  0.14  0.14  0.17  0.20  0.23  0.15  0.15  0.16  0.17 -0.13  0.20  0.34  0.26  0.02 -0.06  0.24 -0.40  0.33  0.33 -0.26  0.31 -0.22 -0.36  0.55  0.10 -0.12  0.44  0.27 -0.20 -0.19 -0.17 -0.09 -0.25 -0.24 -0.22 -0.11 -0.22  0.29  0.02  0.10  0.20  0.13  0.10 -0.01 -0.08  0.10  0.01  0.23  0.26  0.22  0.26  0.26  0.26  0.33  0.26  0.32  0.28  0.57  0.18  0.15  0.50  0.18  0.36  0.26  0.09  0.18  0.19  0.33  0.22  0.34  0.28  0.29  0.23  0.34  1.00  0.33  0.40  0.23  0.69  0.28  0.56  0.34  0.55  0.31  0.35  0.27  0.53  0.27  0.40  0.62 -0.03 
x131: -0.06  0.03  0.01 -0.07 -0.05  0.87 -0.05  0.21 -0.24  0.06  0.09  0.00  0.07  0.03 -0.04  0.87  0.12 -0.12 -0.04 -0.07 -0.15 -0.05  0.15 -0.07 -0.12 -0.07  0.00 -0.06 -0.02 -0.06 -0.05 -0.08  0.85  0.16  0.06  0.09 -0.04  0.13 -0.05 -0.09  0.02  0.01 -0.04  0.20  0.15  0.22  0.21  0.05 -0.23 -0.24 -0.20 -0.23 -0.04 -0.08  0.80  0.28  0.77  0.09  0.10  0.13  0.15  0.12  0.12  0.13  0.13 -0.09  0.11  0.12  0.06 -0.05 -0.04  0.02 -0.21  0.13  0.18 -0.16  0.86 -0.09 -0.21  0.25  0.00 -0.06  0.11  0.10 -0.05 -0.04 -0.02  0.03 -0.07 -0.07 -0.05  0.00 -0.07  0.07  0.03  0.00  0.78  0.73  0.10 -0.07 -0.07  0.02 -0.05  0.78  0.23  0.77  0.23  0.83  0.25  0.36  0.23  0.37  0.35  0.36  0.24  0.17  0.39  0.77  0.43  0.33  0.27  0.18  0.29  0.84  0.74  0.38  0.32  0.25  0.20  0.83  0.33  1.00  0.29  0.78  0.39  0.78  0.20  0.89  0.21  0.88  0.14  0.86  0.32  0.86  0.24  0.33 -0.05 
x132: -0.03  0.11 -0.07 -0.22  0.00  0.10 -0.12  0.40 -0.38 -0.07  0.07  0.07  0.13  0.09  0.06  0.10 -0.06 -0.42 -0.25 -0.04 -0.45  0.11  0.37 -0.01 -0.42 -0.33 -0.26 -0.24 -0.09 -0.17 -0.12 -0.24  0.12  0.42  0.21  0.31 -0.27  0.32 -0.26 -0.08 -0.03  0.22 -0.29  0.51  0.14  0.50  0.52 -0.02 -0.52 -0.53 -0.51 -0.49  0.02 -0.03  0.10  0.44  0.03  0.14  0.19  0.21  0.23  0.00  0.01  0.01  0.01  0.01  0.04  0.13  0.07 -0.15 -0.21  0.12 -0.45  0.17  0.36 -0.30  0.16 -0.28 -0.41  0.32  0.08 -0.06  0.45  0.22 -0.27 -0.26 -0.26 -0.19 -0.33 -0.32 -0.32 -0.20 -0.32  0.18 -0.04  0.01  0.08  0.04 -0.06 -0.07 -0.22 -0.04 -0.10  0.07  0.15  0.07  0.15  0.10  0.18  0.25  0.15  0.24  0.24  0.25  0.08  0.07  0.22  0.07  0.25  0.18  0.11  0.02 -0.01  0.17  0.06  0.25  0.23  0.21  0.13  0.10  0.40  0.29  1.00  0.07  0.43  0.11  0.44  0.17  0.51  0.16  0.47  0.10  0.33  0.12  0.36  0.61  0.00 
x133: -0.05  0.00  0.01 -0.03 -0.05  0.95 -0.01  0.14 -0.17  0.06  0.07 -0.01  0.02  0.01 -0.02  0.95  0.07 -0.05 -0.04 -0.05 -0.08 -0.02  0.12 -0.04 -0.05 -0.02  0.02 -0.02 -0.01 -0.02 -0.02 -0.04  0.96  0.09  0.06  0.07 -0.02  0.10 -0.04 -0.04  0.01  0.01 -0.02  0.08  0.11  0.09  0.09  0.06 -0.15 -0.15 -0.13 -0.14 -0.06 -0.08  0.98  0.20  0.94  0.04  0.05  0.06  0.07  0.12  0.13  0.13  0.13 -0.10  0.11  0.10  0.07 -0.01  0.01  0.03 -0.14  0.11  0.12 -0.09  0.82 -0.02 -0.14  0.14  0.01 -0.08  0.05  0.10  0.01  0.01  0.03  0.06 -0.02 -0.01  0.00  0.03 -0.01  0.05  0.03  0.02  0.94  0.93  0.12 -0.04  0.00  0.04  0.00  0.97  0.16  0.97  0.16  0.89  0.15  0.17  0.16  0.19  0.17  0.24  0.15  0.12  0.26  0.93  0.24  0.19  0.14  0.23  0.33  0.78  0.96  0.20  0.16  0.13  0.15  0.96  0.23  0.78  0.07  1.00  0.32  0.96  0.13  0.93  0.10  0.91  0.05  0.96  0.21  0.85  0.12  0.18 -0.04 
x134: -0.05  0.02  0.00 -0.14 -0.04  0.31 -0.01  0.64 -0.71  0.13  0.25 -0.01  0.10  0.04  0.02  0.32  0.23 -0.28 -0.21 -0.23 -0.44  0.05  0.49 -0.09 -0.29 -0.19 -0.07 -0.12 -0.02 -0.10 -0.07 -0.14  0.34  0.40  0.29  0.38 -0.20  0.43 -0.24 -0.06 -0.03  0.20 -0.22  0.46  0.36  0.49  0.48  0.18 -0.65 -0.67 -0.59 -0.64 -0.07 -0.17  0.35  0.77  0.23  0.15  0.19  0.23  0.27  0.33  0.35  0.36  0.37 -0.28  0.34  0.38  0.29  0.00 -0.03  0.20 -0.49  0.42  0.44 -0.36  0.35 -0.17 -0.46  0.52 -0.01 -0.20  0.33  0.28 -0.06 -0.05 -0.04  0.01 -0.10 -0.09 -0.08 -0.02 -0.09  0.33  0.15  0.10  0.28  0.21  0.32 -0.17 -0.09  0.10 -0.03  0.29  0.34  0.29  0.34  0.33  0.35  0.42  0.34  0.41  0.40  0.55  0.23  0.23  0.52  0.25  0.46  0.37  0.07  0.44  0.39  0.39  0.30  0.45  0.34  0.37  0.31  0.35  0.69  0.39  0.43  0.32  1.00  0.36  0.61  0.41  0.64  0.38  0.42  0.35  0.78  0.32  0.42  0.77 -0.03 
x135: -0.05  0.02  0.00 -0.06 -0.04  0.94 -0.02  0.17 -0.21  0.06  0.09  0.00  0.04  0.02 -0.03  0.94  0.08 -0.08 -0.04 -0.06 -0.11 -0.03  0.14 -0.05 -0.08 -0.05  0.02 -0.04 -0.01 -0.04 -0.03 -0.05  0.94  0.12  0.07  0.09 -0.03  0.13 -0.06 -0.05  0.01  0.02 -0.03  0.12  0.13  0.14  0.13  0.07 -0.18 -0.19 -0.16 -0.18 -0.05 -0.09  0.94  0.24  0.90  0.05  0.07  0.08  0.10  0.13  0.13  0.14  0.14 -0.11  0.12  0.12  0.08 -0.01  0.00  0.04 -0.16  0.13  0.15 -0.12  0.84 -0.05 -0.16  0.18  0.00 -0.07  0.08  0.10 -0.01  0.00  0.01  0.06 -0.04 -0.03 -0.02  0.02 -0.03  0.08  0.03  0.01  0.87  0.85  0.12 -0.06 -0.02  0.03 -0.02  0.93  0.19  0.93  0.19  0.88  0.18  0.24  0.19  0.25  0.23  0.30  0.20  0.14  0.32  0.84  0.31  0.23  0.18  0.21  0.31  0.84  0.94  0.26  0.22  0.17  0.18  0.94  0.28  0.78  0.11  0.96  0.36  1.00  0.23  0.94  0.15  0.93  0.09  0.94  0.25  0.87  0.16  0.26 -0.04 
x136: -0.04  0.14 -0.06 -0.22 -0.02  0.13 -0.01  0.54 -0.56 -0.03  0.20  0.05  0.10  0.05  0.07  0.13  0.01 -0.40 -0.32 -0.10 -0.53  0.15  0.56 -0.05 -0.41 -0.33 -0.23 -0.21 -0.07 -0.13 -0.11 -0.22  0.16  0.51  0.36  0.46 -0.31  0.50 -0.36 -0.02 -0.06  0.30 -0.33  0.47  0.21  0.48  0.49  0.13 -0.62 -0.65 -0.61 -0.58 -0.06 -0.17  0.16  0.63  0.08  0.13  0.15  0.17  0.20  0.11  0.12  0.13  0.13 -0.15  0.18  0.29  0.22 -0.02 -0.11  0.24 -0.43  0.32  0.37 -0.28  0.18 -0.27 -0.38  0.43  0.09 -0.10  0.50  0.30 -0.22 -0.21 -0.20 -0.13 -0.29 -0.27 -0.26 -0.12 -0.26  0.30  0.00  0.09  0.12  0.08  0.09 -0.02 -0.12  0.08  0.02  0.12  0.20  0.12  0.19  0.14  0.20  0.25  0.20  0.24  0.23  0.33  0.13  0.09  0.30  0.10  0.26  0.19  0.06  0.13  0.06  0.20  0.12  0.26  0.22  0.25  0.17  0.16  0.56  0.20  0.44  0.13  0.61  0.23  1.00  0.21  0.62  0.19  0.44  0.15  0.45  0.14  0.34  0.83 -0.04 
x137: -0.05  0.03  0.01 -0.07 -0.05  0.97 -0.03  0.21 -0.25  0.07  0.11  0.00  0.05  0.02 -0.04  0.97  0.12 -0.10 -0.05 -0.08 -0.14 -0.04  0.17 -0.07 -0.11 -0.06  0.01 -0.05 -0.02 -0.05 -0.04 -0.07  0.97  0.16  0.07  0.10 -0.03  0.15 -0.06 -0.08  0.01  0.01 -0.04  0.17  0.16  0.19  0.19  0.07 -0.23 -0.24 -0.20 -0.22 -0.06 -0.09  0.94  0.28  0.87  0.08  0.10  0.12  0.14  0.14  0.15  0.15  0.16 -0.12  0.14  0.14  0.08 -0.03 -0.01  0.04 -0.20  0.14  0.18 -0.15  0.94 -0.08 -0.20  0.23 -0.01 -0.07  0.10  0.11 -0.03 -0.02  0.00  0.05 -0.05 -0.04 -0.03  0.01 -0.05  0.09  0.04  0.01  0.88  0.83  0.13 -0.08 -0.05  0.03 -0.03  0.93  0.24  0.92  0.24  0.90  0.23  0.32  0.24  0.35  0.32  0.37  0.25  0.16  0.40  0.85  0.41  0.31  0.23  0.22  0.33  0.91  0.93  0.35  0.29  0.23  0.22  0.96  0.34  0.89  0.17  0.93  0.41  0.94  0.21  1.00  0.24  0.98  0.13  0.97  0.33  0.89  0.21  0.28 -0.04 
