Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  x138  x139  x140  x141  x142  x143  x144  x145  x146  x147  x148  x149  x150  x151  x152  x153  x154  x155  x156  x157  x158  x159  x160  x161  x162  x163  x164  x165  x166  x167  x168  x169  x170  x171  x172  x173  x174  x175  x176  x177  x178  x179  x180  x181  x182  x183  x184  x185  x186  x187  x188  x189  x190  x191  x192  x193  x194  x195  x196  x197  x198  x199  x200  x201  x202  x203  x204  x205  x206  x207  x208  x209  x210  x211  x212  
x121:  0.04  0.04 -0.10 -0.03 -0.11  0.06  0.03  0.04 -0.03  0.01  0.05 -0.11 -0.06 -0.11 -0.07 -0.14 -0.14 -0.12 -0.06 -0.08 -0.10 -0.08 -0.05 -0.06 -0.06 -0.03  0.10 -0.06  0.04 -0.11 -0.08 -0.09  0.04 -0.08  0.06  0.04  0.09 -0.02  0.01  0.01 -0.02 -0.09 -0.09 -0.04 -0.04 -0.12 -0.14 -0.09  0.04  0.06  0.10  0.18  0.11 -0.01 -0.03 -0.07 -0.08  0.00 -0.01 -0.11 -0.11 -0.02 -0.04 -0.07 -0.09  0.01  0.02 -0.06 -0.08  0.11  0.01  0.17  0.04 -0.03 -0.07  0.11  0.04 -0.01 -0.02  0.05  0.01 -0.13 -0.15 -0.03 -0.04 -0.12 -0.15  0.46  0.43 -0.18 -0.16 -0.02  0.03 -0.11 -0.09 -0.04 -0.04 -0.07 -0.13 -0.03 -0.06 -0.09 -0.07 -0.01  0.00  0.11  0.06 -0.01 -0.06  0.69  0.58  0.21  0.17 -0.07 -0.04 -0.03 -0.07  0.07  0.05 -0.03  0.00  1.00  0.97  0.08 -0.02 -0.05 -0.06 -0.12 -0.15 -0.02  0.00  0.01  0.03  0.03  0.05  0.08  0.06 -0.11 -0.11 -0.09 -0.10 -0.04 -0.05 -0.05 -0.01 -0.02 -0.06 -0.05  0.00  0.54  0.66  0.50  0.38 -0.14 -0.13 -0.02 -0.08  0.08  0.14 -0.07  0.03 -0.01  0.00 -0.07 -0.08  0.77  0.59  0.07  0.08  0.03  0.01 -0.13 -0.13 -0.11 -0.04 -0.05 -0.05 -0.14 -0.17 -0.08 -0.04 -0.07 -0.03 -0.12 -0.12 -0.14 -0.11 -0.08 -0.02  0.03  0.04  0.12  0.11  0.01  0.05  0.28  0.28  0.05 -0.03 -0.02  0.01 -0.09  0.02  0.00  0.00  0.01 -0.04 -0.03  0.01  0.02  0.03  0.04  0.00 
x122:  0.03  0.03 -0.09 -0.01 -0.09  0.05  0.06  0.05 -0.04  0.00  0.05 -0.11 -0.04 -0.12 -0.05 -0.15 -0.14 -0.12 -0.04 -0.09 -0.11 -0.08 -0.03 -0.07 -0.07 -0.04  0.09 -0.06  0.03 -0.11 -0.07 -0.08  0.04 -0.09  0.05  0.01  0.07 -0.03  0.00  0.03  0.05 -0.09 -0.08 -0.04 -0.08 -0.10 -0.12 -0.08 -0.05  0.02  0.07  0.18  0.15 -0.07 -0.07 -0.12 -0.08 -0.02 -0.02 -0.14 -0.13 -0.03 -0.03 -0.06 -0.07  0.00  0.00 -0.05 -0.06  0.11  0.08  0.17  0.12 -0.06 -0.10  0.11  0.12 -0.01 -0.02  0.04  0.15 -0.13 -0.14 -0.02 -0.01 -0.11 -0.14  0.44  0.40 -0.19 -0.15 -0.02  0.02 -0.10 -0.07 -0.04  0.01 -0.07 -0.12 -0.04  0.01 -0.16 -0.07  0.00  0.04  0.11  0.12 -0.01 -0.05  0.67  0.55  0.20  0.21 -0.15 -0.03 -0.03 -0.06  0.06  0.10 -0.03  0.04  0.97  1.00  0.04  0.17 -0.05 -0.05 -0.13 -0.16 -0.03 -0.02 -0.01  0.01  0.02  0.03  0.08  0.13 -0.15 -0.14 -0.13 -0.12 -0.12 -0.03 -0.11 -0.03 -0.02  0.09 -0.14  0.01  0.53  0.65  0.50  0.42 -0.16 -0.15 -0.02 -0.07 -0.07  0.07 -0.08  0.02 -0.05 -0.02 -0.07  0.01  0.75  0.68  0.06  0.07  0.00 -0.02 -0.12 -0.14 -0.12 -0.05 -0.05 -0.05 -0.15 -0.20 -0.18 -0.09 -0.12 -0.06 -0.10 -0.10 -0.12 -0.08 -0.11 -0.06  0.03  0.05  0.12  0.13 -0.01  0.04  0.26  0.27  0.05  0.07 -0.03 -0.02 -0.16 -0.02 -0.01 -0.01  0.03 -0.01 -0.02  0.00  0.00  0.01  0.09  0.01 
x123: -0.03 -0.04  0.00 -0.05 -0.18  0.02 -0.08 -0.04 -0.03 -0.03 -0.04  0.02  0.00  0.01 -0.01 -0.06 -0.04  0.01 -0.02  0.03  0.01 -0.01 -0.03  0.00 -0.01 -0.05 -0.06 -0.06 -0.07  0.04  0.04 -0.05 -0.06 -0.05 -0.06 -0.12 -0.03 -0.14 -0.07  0.09  0.03 -0.01 -0.04 -0.06 -0.06  0.10  0.11 -0.19 -0.07 -0.10 -0.04  0.03 -0.01 -0.16 -0.06  0.02 -0.03 -0.07 -0.08 -0.09 -0.10  0.06 -0.04 -0.02 -0.03 -0.01  0.06 -0.04 -0.12  0.23  0.02  0.23  0.02 -0.10 -0.10  0.25  0.03  0.10  0.04  0.37  0.09 -0.05 -0.13  0.06 -0.04 -0.10 -0.11 -0.01 -0.02  0.00 -0.03 -0.05 -0.06  0.03 -0.03  0.13  0.00 -0.02 -0.08  0.07  0.00 -0.09 -0.02  0.03 -0.02  0.16  0.00 -0.02 -0.08 -0.01  0.05  0.08 -0.03 -0.18 -0.16 -0.03 -0.09  0.13 -0.01  0.14  0.08  0.08  0.04  1.00  0.23 -0.04 -0.05 -0.05 -0.13  0.00  0.04 -0.04 -0.01 -0.05  0.01  0.21  0.05 -0.11 -0.16 -0.08 -0.16  0.10  0.05 -0.13 -0.07  0.28  0.03 -0.12 -0.10  0.04  0.02  0.09  0.05  0.00 -0.02 -0.02 -0.09 -0.19 -0.11  0.10  0.10 -0.03 -0.09  0.20  0.06  0.12  0.02  0.08  0.06 -0.07 -0.08  0.02  0.06  0.05  0.08 -0.06 -0.03 -0.03  0.05 -0.17 -0.11 -0.09 -0.15  0.11  0.04  0.07  0.02 -0.05 -0.11  0.05  0.04  0.02 -0.01 -0.03 -0.06 -0.03 -0.06  0.25 -0.02  0.00 -0.05 -0.05 -0.16 -0.02 -0.07  0.04 -0.02  0.03  0.06 -0.06 -0.07  0.08  0.16 
x124: -0.07 -0.07  0.00  0.09  0.09 -0.02  0.16  0.00 -0.08 -0.06 -0.03  0.01  0.10  0.00  0.07 -0.06  0.01  0.03  0.10 -0.01 -0.01  0.00  0.06 -0.02 -0.03 -0.09 -0.12  0.00 -0.03  0.03  0.06 -0.02 -0.05 -0.06 -0.09 -0.22 -0.14 -0.10 -0.02  0.15  0.34 -0.01  0.04  0.00 -0.21  0.10  0.11 -0.02 -0.36 -0.19 -0.11  0.06  0.23 -0.34 -0.23 -0.25 -0.03 -0.14 -0.10 -0.16 -0.13 -0.03  0.06  0.05  0.08 -0.06 -0.08  0.03  0.06  0.06  0.35  0.05  0.33 -0.16 -0.13  0.09  0.38  0.05  0.04  0.03  0.62  0.01  0.00  0.02  0.10  0.00  0.01 -0.09 -0.11 -0.06  0.02 -0.05 -0.08  0.04  0.02  0.01  0.22 -0.01  0.02 -0.02  0.30 -0.32  0.03  0.03  0.17  0.04  0.28  0.03  0.03 -0.07 -0.08  0.00  0.19 -0.42  0.01  0.00  0.02 -0.01  0.21  0.03  0.23 -0.02  0.17  0.23  1.00 -0.02 -0.01 -0.09 -0.08 -0.05 -0.06 -0.11 -0.11 -0.09 -0.10  0.07  0.32 -0.27 -0.18 -0.26 -0.14 -0.35  0.09 -0.34 -0.11  0.07  0.71 -0.46  0.02 -0.02 -0.03  0.05  0.21 -0.12 -0.10  0.01 -0.01 -0.69 -0.29  0.03  0.02 -0.20 -0.09  0.12  0.44 -0.01  0.36  0.01  0.04 -0.14 -0.15  0.06 -0.04 -0.04 -0.06 -0.03  0.00 -0.02 -0.14 -0.53 -0.23 -0.25 -0.15  0.11  0.13  0.14  0.15 -0.19 -0.17  0.00  0.02 -0.01  0.08 -0.10 -0.04 -0.10 -0.06  0.12  0.42 -0.06 -0.10 -0.35 -0.20 -0.06 -0.05  0.08  0.12  0.00 -0.03 -0.13 -0.09  0.28  0.04 
x125: -0.01 -0.01 -0.10 -0.14 -0.12  0.03 -0.22 -0.10 -0.03 -0.02 -0.14  0.12  0.03  0.12  0.03  0.09 -0.02  0.08 -0.02  0.08  0.15  0.08  0.02 -0.04 -0.04  0.01 -0.14  0.04 -0.08  0.17  0.03  0.01 -0.18  0.00 -0.18  0.11  0.02  0.04 -0.01 -0.01 -0.06  0.03 -0.02  0.13  0.12 -0.05 -0.07  0.06  0.04  0.10  0.06 -0.03 -0.04  0.08 -0.04 -0.08 -0.03  0.19  0.02  0.11 -0.01 -0.15 -0.25  0.29  0.03 -0.06 -0.25  0.31 -0.05 -0.04 -0.23  0.00 -0.17  0.16  0.04 -0.02 -0.23  0.27 -0.03 -0.04 -0.02  0.33  0.05 -0.03 -0.14  0.24 -0.07  0.03  0.04  0.07 -0.01  0.16  0.19 -0.12 -0.12 -0.13 -0.32  0.47  0.01  0.01  0.00  0.04  0.04 -0.11 -0.18 -0.16 -0.40  0.61  0.17 -0.11 -0.38 -0.08 -0.27 -0.03 -0.02  0.44  0.01 -0.01 -0.24 -0.16 -0.36 -0.05 -0.05 -0.04 -0.02  1.00  0.62  0.44  0.15 -0.13 -0.35 -0.05 -0.25 -0.18 -0.44 -0.13 -0.42  0.42  0.07  0.52  0.14 -0.01  0.01  0.03  0.03  0.01  0.00  0.06  0.07 -0.36  0.01 -0.10 -0.28  0.16  0.07  0.51  0.07 -0.03 -0.03  0.17  0.05  0.52  0.17  0.05  0.03 -0.03 -0.03  0.02 -0.01 -0.06 -0.09  0.09  0.24 -0.09 -0.29  0.06  0.00  0.08  0.18  0.08  0.01  0.28  0.09  0.23  0.03  0.18  0.01  0.32  0.04 -0.06 -0.11 -0.06 -0.13 -0.03 -0.11  0.10  0.00  0.01 -0.03 -0.10 -0.22  0.10 -0.07 -0.08 -0.23  0.35  0.09 -0.08  0.06  0.35  0.12  0.05  0.13 
x126: -0.02 -0.02 -0.12  0.06  0.05 -0.08  0.11  0.04 -0.09  0.01  0.00 -0.06  0.14 -0.03  0.13 -0.05  0.06 -0.05  0.07  0.05  0.02 -0.02  0.08 -0.05 -0.02  0.11  0.02  0.09  0.03  0.06  0.14  0.07 -0.03  0.07 -0.03  0.05  0.12  0.03  0.05 -0.05 -0.03 -0.01 -0.02  0.15  0.08 -0.05 -0.04  0.19  0.03  0.11  0.14 -0.08 -0.03  0.05  0.08 -0.10 -0.01  0.03  0.15 -0.10 -0.01 -0.20 -0.23  0.11  0.21 -0.15 -0.05  0.01  0.16 -0.03 -0.05 -0.03 -0.01 -0.03  0.17 -0.05 -0.06 -0.03  0.04 -0.12 -0.08  0.00  0.35 -0.04 -0.03  0.01  0.08 -0.04  0.01  0.00  0.15  0.14  0.18 -0.05 -0.02 -0.14 -0.11  0.02  0.36 -0.03 -0.04  0.06  0.10 -0.07 -0.01 -0.12 -0.09  0.10  0.56 -0.16 -0.14 -0.11 -0.09  0.07  0.09  0.00  0.35 -0.07 -0.02 -0.11 -0.13 -0.06 -0.05 -0.05 -0.01  0.62  1.00  0.09  0.43 -0.15 -0.15 -0.09 -0.07 -0.19 -0.13 -0.21 -0.15  0.04  0.34  0.07  0.46  0.00  0.02  0.08  0.10 -0.01  0.01  0.07  0.10  0.01 -0.21 -0.12 -0.08  0.06  0.16  0.00  0.38  0.02  0.01  0.13  0.21  0.18  0.44 -0.01 -0.01 -0.09 -0.03  0.04  0.03 -0.13 -0.14  0.19  0.05 -0.11 -0.10 -0.01 -0.01  0.14  0.02  0.01 -0.08  0.04  0.23 -0.02  0.26 -0.02  0.21 -0.02  0.20 -0.03  0.02 -0.02  0.03 -0.02 -0.03  0.02  0.13 -0.02 -0.03 -0.11 -0.15  0.05  0.00 -0.12 -0.11  0.12  0.20  0.11  0.05  0.12  0.20  0.06  0.05 
x127: -0.09 -0.09 -0.04 -0.17 -0.10  0.03 -0.21 -0.12  0.09  0.06 -0.11  0.23 -0.02  0.26  0.06  0.16 -0.02  0.22  0.01 -0.01  0.14  0.20  0.05  0.00 -0.01  0.05 -0.14  0.14 -0.02  0.27  0.10  0.13 -0.07  0.12 -0.10  0.11 -0.04  0.08  0.00  0.15  0.04  0.00 -0.04  0.28  0.36  0.10  0.11  0.09  0.14  0.18  0.07 -0.05 -0.09  0.11 -0.04  0.06  0.04  0.22  0.02  0.09 -0.05 -0.13 -0.22  0.16 -0.05 -0.08 -0.36  0.38  0.04 -0.09 -0.29 -0.08 -0.30  0.23  0.03 -0.07 -0.31  0.29  0.00 -0.07 -0.10  0.37  0.03 -0.08 -0.18  0.19 -0.07 -0.15 -0.10  0.20  0.05  0.12  0.17 -0.14 -0.08 -0.18 -0.35  0.47  0.09 -0.10 -0.13  0.40  0.35 -0.14 -0.23 -0.30 -0.46  0.55  0.14 -0.20 -0.40 -0.19 -0.33  0.06 -0.06  0.52  0.15 -0.09 -0.29 -0.16 -0.31 -0.12 -0.13 -0.05 -0.09  0.44  0.09  1.00  0.38 -0.12 -0.27 -0.04 -0.19 -0.27 -0.45 -0.21 -0.45  0.54  0.10  0.58  0.09  0.24  0.22  0.10  0.01  0.20  0.08  0.35  0.32 -0.46 -0.14 -0.19 -0.31  0.26  0.14  0.52  0.13  0.05 -0.12  0.16  0.09  0.42  0.03  0.20  0.12 -0.07 -0.04  0.35  0.30 -0.01 -0.05  0.38  0.54 -0.15 -0.31  0.09  0.09  0.37  0.50  0.18  0.06  0.32  0.07  0.26  0.05  0.27  0.09  0.26 -0.02  0.10  0.03 -0.05 -0.10  0.03 -0.11  0.11 -0.02  0.00 -0.03 -0.07 -0.19  0.15 -0.01 -0.02 -0.19  0.26  0.05 -0.08  0.03  0.25  0.06 -0.12  0.02 
x128: -0.03 -0.03 -0.01  0.05  0.15 -0.09  0.19  0.00 -0.09  0.02 -0.03  0.02  0.18  0.05  0.19  0.03  0.15  0.06  0.10 -0.06  0.01  0.10  0.19 -0.07 -0.06  0.06 -0.03  0.08  0.03  0.12  0.19  0.05 -0.02  0.04 -0.03 -0.02  0.08  0.09  0.10  0.05  0.09 -0.07 -0.04  0.35  0.23  0.00  0.03  0.20  0.05  0.08  0.16 -0.11 -0.04  0.02  0.10 -0.05  0.01  0.00  0.18 -0.11  0.04 -0.28 -0.19  0.04  0.08 -0.18 -0.16  0.16  0.18 -0.24 -0.14 -0.23 -0.11  0.02  0.25 -0.29 -0.14  0.09  0.07 -0.23 -0.16  0.14  0.34 -0.12  0.01  0.08  0.13 -0.19 -0.11  0.02  0.20  0.09  0.23 -0.13 -0.08 -0.35 -0.18  0.12  0.40 -0.10 -0.13  0.28  0.37 -0.20 -0.10 -0.35 -0.19  0.16  0.53 -0.31 -0.25 -0.30 -0.19  0.05  0.06  0.18  0.48 -0.31 -0.11 -0.17 -0.10 -0.15 -0.16 -0.13 -0.08  0.15  0.43  0.38  1.00 -0.18 -0.18 -0.14 -0.10 -0.33 -0.27 -0.45 -0.19  0.12  0.57  0.10  0.60  0.09  0.11  0.12  0.12  0.10  0.06  0.27  0.30 -0.19 -0.34 -0.33 -0.15  0.14  0.31  0.17  0.52  0.03 -0.04  0.15  0.20  0.04  0.45  0.08  0.11 -0.18 -0.08  0.32  0.33 -0.13 -0.15  0.56  0.27 -0.19 -0.18  0.04  0.01  0.50  0.25  0.03  0.07  0.02  0.32  0.07  0.29  0.06  0.22  0.00  0.37 -0.02  0.07 -0.11 -0.01  0.00 -0.07 -0.08  0.08 -0.03 -0.05 -0.14 -0.14  0.04  0.12 -0.11 -0.07  0.09  0.19  0.00 -0.06  0.05  0.28 -0.05 -0.13 
x129: -0.08 -0.08  0.01 -0.06 -0.09  0.08 -0.16  0.02  0.07  0.11  0.03  0.02 -0.04  0.02 -0.03  0.05  0.03  0.02 -0.02  0.04  0.09  0.01 -0.03  0.28  0.27  0.18  0.07  0.15  0.10  0.02  0.00  0.26  0.14  0.27  0.12 -0.02 -0.08 -0.04 -0.05  0.05 -0.01  0.00 -0.01 -0.08  0.03  0.01  0.03 -0.03  0.07 -0.06 -0.08 -0.03 -0.07  0.06  0.02  0.22  0.15  0.03 -0.04  0.01 -0.05  0.14  0.06 -0.15 -0.11  0.13  0.01 -0.05 -0.03  0.15  0.02  0.16  0.02  0.00 -0.06  0.14 -0.02 -0.08 -0.04  0.07  0.00 -0.04 -0.11  0.22  0.10 -0.13 -0.09 -0.05 -0.07  0.12  0.03 -0.03 -0.09  0.24  0.17  0.38  0.19 -0.22 -0.26 -0.02 -0.04  0.08 -0.05  0.14  0.01  0.23  0.07 -0.15 -0.18  0.11  0.03  0.13  0.03  0.10 -0.01 -0.06 -0.11  0.21  0.04  0.34  0.17 -0.02 -0.03  0.00 -0.05 -0.13 -0.15 -0.12 -0.18  1.00  0.79  0.24  0.17  0.30  0.17  0.36  0.13  0.06 -0.03 -0.09 -0.15  0.12 -0.01  0.13  0.08  0.01 -0.03  0.06 -0.10  0.10  0.09  0.16  0.00  0.03 -0.01 -0.15 -0.16  0.07 -0.07  0.01 -0.04 -0.04 -0.16 -0.05 -0.13 -0.02 -0.06 -0.09 -0.08  0.07  0.07 -0.21 -0.07  0.36  0.23  0.10  0.17 -0.17  0.01  0.13  0.06  0.07 -0.05  0.07 -0.03  0.11  0.01 -0.02 -0.15  0.13  0.11  0.09  0.03 -0.01  0.04 -0.10 -0.16  0.02 -0.01  0.13  0.04 -0.03 -0.09  0.26  0.13  0.01 -0.09 -0.04  0.05  0.07 -0.08 -0.02  0.03 
x130: -0.11 -0.11  0.01  0.14  0.09  0.03  0.10  0.10  0.02  0.05  0.13 -0.09  0.00 -0.09  0.02 -0.02  0.09 -0.07  0.03  0.09 -0.02 -0.08  0.00  0.27  0.27  0.13  0.22  0.07  0.18 -0.05  0.04  0.15  0.26  0.15  0.25 -0.06 -0.07 -0.07 -0.07  0.02  0.03 -0.08  0.01 -0.08 -0.05  0.03  0.05 -0.02  0.03 -0.08 -0.06 -0.04 -0.05  0.00  0.03  0.23  0.17 -0.03 -0.01 -0.03 -0.04  0.08  0.20 -0.25 -0.06 -0.06  0.23 -0.20  0.07  0.03  0.19  0.02  0.17 -0.05 -0.06  0.00  0.18 -0.24 -0.02  0.09 -0.01 -0.23 -0.01  0.14  0.24 -0.20  0.02  0.02 -0.01  0.06  0.04 -0.05 -0.14  0.24  0.22  0.25  0.43 -0.34 -0.14  0.00 -0.02  0.07 -0.04  0.09  0.21  0.13  0.38 -0.39 -0.15  0.00  0.30  0.08  0.28  0.13  0.06 -0.27 -0.10  0.04  0.28  0.25  0.41  0.00 -0.02  0.04 -0.06 -0.35 -0.15 -0.27 -0.18  0.79  1.00  0.13  0.34  0.18  0.50  0.15  0.46 -0.11  0.02 -0.32 -0.16  0.13  0.02  0.09  0.06  0.03 -0.04  0.03 -0.12  0.26  0.08  0.07  0.26 -0.02  0.00 -0.37 -0.12  0.08  0.02 -0.02 -0.01 -0.20 -0.13 -0.06 -0.12 -0.01 -0.06 -0.10 -0.07  0.11  0.16 -0.06 -0.27  0.26  0.47  0.06  0.12 -0.06 -0.18  0.10  0.10 -0.01 -0.01 -0.06 -0.03 -0.01  0.03 -0.22 -0.16  0.16  0.18  0.03  0.13 -0.01  0.11 -0.14 -0.13 -0.09  0.02  0.09  0.20 -0.02 -0.02  0.17  0.29 -0.16 -0.05  0.07  0.02 -0.04 -0.06 -0.02 -0.04 
x131: -0.07 -0.07  0.00 -0.09 -0.04  0.05 -0.10  0.06  0.07  0.08  0.00  0.03  0.02  0.04  0.06  0.05  0.07  0.05  0.10  0.06  0.09  0.06  0.05  0.07  0.06  0.22  0.12  0.15  0.11  0.03  0.06  0.23  0.13  0.22  0.09 -0.09 -0.09 -0.04 -0.02  0.09  0.08  0.06  0.05 -0.04  0.06  0.06  0.06 -0.05 -0.01 -0.11 -0.06 -0.02 -0.04 -0.03  0.06  0.10  0.11 -0.04 -0.07 -0.04 -0.06  0.15  0.09 -0.06 -0.07  0.17  0.10 -0.16 -0.15  0.23  0.11  0.14  0.07 -0.07 -0.08  0.17  0.04 -0.11 -0.11  0.00 -0.06 -0.13 -0.22  0.20  0.10 -0.16 -0.16 -0.07 -0.06  0.02 -0.01 -0.03 -0.05  0.12  0.09  0.24  0.09 -0.13 -0.21  0.00 -0.04  0.09  0.04  0.15  0.00  0.29  0.09  0.05  0.02  0.21  0.11  0.18  0.07  0.08  0.01  0.19  0.08  0.54  0.34  0.23  0.11  0.01 -0.01 -0.04 -0.11 -0.05 -0.09 -0.04 -0.14  0.24  0.13  1.00  0.86  0.53  0.31  0.43  0.18 -0.08 -0.16 -0.02 -0.08  0.06  0.01  0.18  0.14  0.03 -0.02  0.05 -0.01  0.15  0.15  0.24  0.07  0.03  0.00  0.07  0.02  0.10  0.03 -0.07 -0.01  0.00 -0.08  0.05  0.00  0.01 -0.06 -0.01 -0.04  0.18  0.16 -0.18 -0.01  0.17  0.08  0.03  0.06 -0.11  0.05  0.13  0.08  0.02 -0.04 -0.04 -0.08 -0.05 -0.06 -0.07 -0.15  0.11  0.10  0.33  0.25 -0.05  0.01 -0.04 -0.07 -0.03  0.00  0.11  0.05  0.06 -0.01  0.03 -0.08  0.05  0.01  0.16  0.21  0.02 -0.10  0.12  0.17 
x132: -0.11 -0.10  0.00  0.07  0.12  0.03  0.11  0.11  0.01  0.04  0.10 -0.07  0.07 -0.06  0.09 -0.02  0.14 -0.02  0.12  0.08 -0.01 -0.03  0.07  0.08  0.09  0.18  0.25  0.08  0.16 -0.04  0.08  0.14  0.23  0.11  0.21 -0.15 -0.08 -0.04 -0.01  0.06  0.12 -0.01  0.08 -0.01  0.00  0.06  0.08 -0.02 -0.04 -0.12 -0.03 -0.03 -0.02 -0.06  0.09  0.11  0.13 -0.09 -0.06 -0.10 -0.07  0.08  0.18 -0.14 -0.02  0.06  0.30 -0.30 -0.07  0.13  0.24  0.06  0.22 -0.15 -0.10  0.06  0.22 -0.22 -0.04  0.02 -0.06 -0.30 -0.14  0.15  0.24 -0.24 -0.08 -0.05 -0.03 -0.02  0.01 -0.05 -0.09  0.14  0.13  0.16  0.31 -0.31 -0.17 -0.01 -0.05  0.07  0.06  0.11  0.17  0.21  0.35 -0.18  0.04  0.11  0.34  0.13  0.27  0.12  0.09 -0.05  0.09  0.40  0.56  0.20  0.32  0.03  0.01 -0.01 -0.11 -0.25 -0.07 -0.19 -0.10  0.17  0.34  0.86  1.00  0.40  0.60  0.25  0.45 -0.23 -0.12 -0.23 -0.09  0.07  0.03  0.16  0.14  0.04 -0.02  0.03 -0.01  0.30  0.13  0.16  0.29  0.00  0.02 -0.15  0.06  0.10  0.06 -0.09  0.00 -0.17 -0.07  0.04  0.01  0.00 -0.05 -0.02 -0.03  0.19  0.21 -0.07 -0.19  0.11  0.29 -0.01  0.04 -0.04 -0.12  0.07  0.04 -0.06 -0.04 -0.13 -0.07 -0.12 -0.03 -0.23 -0.15  0.14  0.16  0.28  0.32 -0.06  0.06 -0.06 -0.04 -0.12  0.03  0.06  0.17  0.06  0.07 -0.03  0.07 -0.09  0.04  0.22  0.17 -0.06 -0.09  0.09  0.14 
x133: -0.03 -0.03  0.01 -0.12 -0.10  0.01 -0.12  0.12  0.09  0.07  0.10 -0.09 -0.01 -0.07 -0.01 -0.01  0.07 -0.10  0.02  0.03 -0.04 -0.04  0.00 -0.06 -0.05  0.13  0.16  0.12  0.15 -0.13 -0.05  0.14  0.16  0.16  0.16  0.00 -0.09  0.00 -0.02  0.09 -0.03  0.24  0.19 -0.19  0.00 -0.08 -0.08 -0.13  0.00 -0.03 -0.08  0.04 -0.04  0.03 -0.04  0.02 -0.02  0.07  0.01  0.00 -0.05  0.22  0.11  0.01  0.04  0.28  0.20 -0.18 -0.07  0.32  0.14  0.26  0.11  0.00 -0.05  0.28  0.11 -0.14 -0.01  0.03 -0.02 -0.21 -0.21  0.26  0.09 -0.15 -0.04  0.03  0.00 -0.14 -0.19 -0.05 -0.11  0.04 -0.04  0.22  0.03 -0.20 -0.19 -0.01 -0.03  0.02 -0.06  0.26  0.08  0.30  0.10 -0.12 -0.12  0.28  0.16  0.24  0.10  0.12  0.04 -0.07 -0.07  0.52  0.27  0.27  0.12  0.03  0.02 -0.05 -0.09 -0.18 -0.19 -0.27 -0.33  0.30  0.18  0.53  0.40  1.00  0.55  0.51  0.18 -0.17 -0.23 -0.15 -0.21  0.05 -0.05  0.09  0.04 -0.03 -0.07  0.04 -0.03  0.25  0.19  0.30  0.07  0.06  0.00 -0.10 -0.11  0.11  0.04 -0.14 -0.09 -0.12 -0.22 -0.10 -0.15  0.03 -0.05 -0.16 -0.18  0.13  0.13 -0.36 -0.11  0.24  0.09  0.01 -0.03 -0.32 -0.11  0.16  0.05  0.00 -0.09 -0.16 -0.19 -0.20 -0.22 -0.09 -0.18 -0.03 -0.05  0.36  0.23  0.06  0.07 -0.06 -0.09 -0.03  0.01  0.17  0.11  0.00 -0.01  0.11  0.02 -0.04 -0.06  0.17  0.22 -0.08 -0.18  0.17  0.22 
